 	avete	cucinato	le	verdure	</S>
a31	0.76630405	8.5769165e-05	0.22593953	0.0067929935	0.0008776596
a46	0.551609226667	6.9641603e-05	0.24812518	0.1993112595	0.0008846468
a20	0.442020438889	0.000145018899	0.235641893333	0.311596533167	0.0105960742
a31	0.626191932963	0.00141364769967	0.115837659111	0.195072879722	0.0614838354
a17	0.745215534321	0.00230941796656	0.052075697037	0.112005271907	0.0883940578
a31	0.690147168107	0.00192343585552	0.0301223450123	0.131159023969	0.1466480186
a35	0.598018522702	0.0108167851852	0.0289918526708	0.14632826299	0.215844569533
a31	0.691663250901	0.0137914093284	0.0351753202236	0.0915700259967	0.167799976511
a46	0.742659543634	0.0194065097095	0.0428706017412	0.0738748419989	0.121188465504
a38	0.739749821211	0.0396088329032	0.0484395759137	0.0627395039996	0.109462235168
a17	0.63205614707	0.0752506259677	0.0735238506379	0.0872770346665	0.131892321723
</S>	0.532545848535	0.102340057984	0.0918698753189	0.109025742333	0.164218470861
