 	è	possibile	che	è	entrato	da	qui	</S>
a13	0.000835919335	0.616807225	0.0141402945	4.4822418e-05	4.8664959e-06	0.04355703365	0.262687467	0.06192241455
a31	0.000326535776333	0.609322168333	0.0255960158333	4.17107893333e-05	1.92820053333e-06	0.04163480305	0.259953275667	0.0631235745167
a15	0.000200218596778	0.808351802778	0.0547128186111	0.000127920709111	1.97975414444e-06	0.0147779601967	0.0986265072223	0.0232008371722
a20	0.00299949859559	0.823930980926	0.0708883862037	0.00056245964637	0.000115565437881	0.0183592607456	0.0681784510741	0.0149654650574
a11	0.0102843778652	0.711927343642	0.0750718654012	0.00163460271546	0.000795612512627	0.0493766655819	0.130184607025	0.0207249606858
a31	0.0109441785217	0.616447031214	0.161337115134	0.00282194837182	0.00100708327088	0.0523764118606	0.138283870342	0.0167823673286
a39	0.0596496810739	0.624537410405	0.168707752711	0.00319101092394	0.00289434122363	0.0380355549535	0.091874958114	0.0111092855429
a46	0.108443587025	0.550404243468	0.0762996235703	0.00435607907465	0.00617143174121	0.0734051726512	0.136187832705	0.044732025181
a18	0.0904800003417	0.377516931156	0.0443450521901	0.00552038592488	0.0087788855804	0.127064970884	0.212722650902	0.13357112006
a31	0.0948841881139	0.341443060385	0.0452674413967	0.016932971875	0.0179782068601	0.123716826961	0.214754230301	0.145023076687
a13	0.0943208117046	0.274036844128	0.0437873117989	0.024112075625	0.0275058942867	0.157791608987	0.204341703434	0.174103768896
a31	0.0911547195682	0.148211765376	0.061749713933	0.054796277875	0.0603933800956	0.186380382996	0.190377337811	0.206936451299
a46	0.102132033189	0.122261068459	0.0910053559777	0.0888114392917	0.0907095300319	0.162281087665	0.185562782604	0.157236715433
a31	0.106170649396	0.112916048153	0.100951594993	0.100226536431	0.101443346677	0.154146462555	0.183091757535	0.141053598478
</S>	0.115250842198	0.118777042077	0.112838989996	0.112636418215	0.112846653338	0.139825581277	0.154929883767	0.132894574239
