 	sto	e	cucino	</S>
a31	0.026216128	0.696069425	0.27728919	0.00042529014
a20	0.01897895846	0.467666258333	0.51306051	0.000294311946667
a31	0.0222161519467	0.349581886111	0.627833883333	0.000368107315556
a37	0.0985707449822	0.38978777537	0.503516937778	0.00812457881852
a18	0.149620671661	0.33097707179	0.468836712593	0.0505655806062
a31	0.10378404622	0.36797673393	0.466836647531	0.0614025955354
a20	0.08507603774	0.36337027131	0.50089990251	0.0506538138451
a31	0.07033751558	0.31197802377	0.558220967503	0.0594635312817
a28	0.0736108315267	0.427861007923	0.444037019168	0.0544911880939
a33	0.115537650509	0.531380265974	0.280737659723	0.072344483698
a31	0.127503156836	0.437589825325	0.325235109908	0.109671957899
</S>	0.129943413418	0.335442797663	0.405941154954	0.128672668949
