 	non	ho	cosa	a	fare	</S>
a8	0.4344448493	0.2702310024	0.1394864656	0.02213193237	0.06692050567	0.066785259487
a31	0.370391567967	0.232256736133	0.201089659933	0.0289049637087	0.101511002488	0.0658460961783
a37	0.294141650532	0.169169197378	0.282112680511	0.0492687386682	0.148193282541	0.0571144789288
a11	0.230480034014	0.178138821059	0.323740513037	0.0463659442694	0.133983538714	0.0872911662656
a13	0.195875206245	0.22181180382	0.290466174039	0.0454652864498	0.118577432638	0.127804101311
a20	0.171796946628	0.282706113873	0.234842488906	0.0740781264166	0.130203227079	0.10637309221
a31	0.115168363409	0.244845238358	0.220127888502	0.168516563672	0.16328121636	0.08806073515
a8	0.0864086736697	0.199635922686	0.198935147234	0.198175660757	0.184566390787	0.132278224663
a31	0.107366570823	0.269369533462	0.171000317278	0.128794983919	0.159118067862	0.164350531154
a46	0.139759250741	0.254992570487	0.164387605759	0.10438551064	0.160657085354	0.175817977051
a8	0.166639276714	0.188216603896	0.144194714853	0.133014702147	0.176763949185	0.191170757017
</S>	0.168735825357	0.169843123548	0.142577612826	0.160945512474	0.168997387992	0.188900538508
