 	l	anno	che	viene	devo	mangiare	molti	dolci	</S>
a8	0.093762407836	0.154005076794	0.0112136565668	0.0017983424861	0.15595859851	0.0335511957526	0.2848185787	0.23811150581	0.026780642733
a31	0.0464780517387	0.113576200615	0.00934923241689	0.00214476792808	0.149641152559	0.0312650739326	0.300342090113	0.307436406289	0.0397669999939
a46	0.0248726042702	0.081097168449	0.00923999080132	0.00183218872707	0.111301298436	0.0343125502975	0.322773264158	0.378885580735	0.0356853293875
a8	0.0223402094207	0.138313451088	0.0179258864981	0.00156254537929	0.0507547628307	0.0253815577632	0.270060593113	0.447023402545	0.0266375691778
a20	0.0206948592844	0.210648672147	0.0274975794135	0.00281670184643	0.0259707463609	0.0277551533971	0.204945459891	0.459369806322	0.0203009766946
a31	0.0219174650149	0.240497174928	0.0531937699362	0.00509312364406	0.020617305195	0.029475713859	0.19717851213	0.422022215294	0.0100046940318
a20	0.027524966481	0.225805145977	0.0733890972453	0.00661197832247	0.0315288131197	0.024327130165	0.22745378351	0.376061036645	0.0072980431742
a13	0.0426514711417	0.232608665586	0.0664421265444	0.00939499884016	0.0418579999199	0.0295773419323	0.251775348703	0.309566842055	0.0161252041481
a14	0.0463424875432	0.279474112187	0.0578394603063	0.0133149182474	0.0380579588133	0.0401466582641	0.243721139034	0.256773514125	0.0243297333827
a0	0.0339685827757	0.27098911573	0.0606033586914	0.0165819956885	0.0326851010978	0.0522131351547	0.259970837678	0.246415551042	0.0265723057476
a31	0.0277187419759	0.217576578422	0.0620541435945	0.0191529759852	0.0454731247459	0.0449989856716	0.279684842826	0.274203325681	0.0291372907845
a37	0.031936454296	0.214935792261	0.0559521174022	0.0217318367708	0.0511120281953	0.0345716432639	0.280688619542	0.27479007276	0.0342814393955
a35	0.032975712592	0.202033298602	0.0738196522141	0.0229870254129	0.0385581506051	0.0450217482013	0.316127960981	0.233570922253	0.0349055217838
a17	0.029531380384	0.175597474867	0.0966183040807	0.0254175486136	0.0349012440417	0.0586869718804	0.294306539194	0.255318538884	0.0296219809346
