 	ho	finito	di	scrivere	</S>
a38	0.52959861947	0.1746133922	0.0411884914797	0.118922257195	0.135677269767
a31	0.538516894757	0.182212456913	0.116159566474	0.0918414028762	0.0712696959367
a15	0.516530999719	0.181024513838	0.238620346616	0.0345954844625	0.02922865038
a18	0.355968319506	0.273983658946	0.290747305941	0.0525189634121	0.026781739926
a31	0.221228906635	0.384318971782	0.263264209312	0.104738193818	0.0264496960613
a37	0.231859374478	0.389314125261	0.215199743796	0.116938729218	0.0466879953004
a31	0.311606668826	0.321296709954	0.189430724272	0.0873991307473	0.0902667354228
a0	0.279742359809	0.272227618385	0.202951486524	0.0714562383771	0.173622286124
a31	0.231077688803	0.259525060528	0.207114448641	0.088871367859	0.213411430508
a18	0.222696371734	0.230658731109	0.207424709947	0.139071928753	0.200148250436
a31	0.186091991778	0.193920247036	0.205506928649	0.169342857851	0.245137981479
a39	0.178153047326	0.190156864079	0.214646436883	0.173336524217	0.24370713316
a20	0.181577942109	0.191451052026	0.218988483628	0.214668217406	0.193314304387
a31	0.175036448503	0.188764435875	0.202960204543	0.239081124469	0.194157793462
a8	0.181603719968	0.185983093825	0.213623254181	0.213194026156	0.205595913154
a20	0.196829361323	0.197044838942	0.20440088106	0.217573051385	0.184151861051
a31	0.199057711774	0.191754137114	0.19464783002	0.231702477795	0.182837815684
</S>	0.199399961887	0.184640650257	0.20155235001	0.221170990898	0.193236014842
