 	venne	scritto	</S>
a31	0.7887610507	0.10584697614	0.105391988083
a28	0.807101726233	0.14983290426	0.0430653853787
a8	0.739220314078	0.233561827753	0.0272178779326
a31	0.689527067893	0.237087562693	0.0733853663775
a20	0.614824757164	0.225479809406	0.159695416273
a31	0.508203310655	0.302173152469	0.189623531784
a13	0.561875301818	0.29287742509	0.145247275928
a29	0.604562303273	0.257552425297	0.137885278709
a39	0.598454855758	0.230056611099	0.17148852777
a31	0.527652705919	0.260907035033	0.211440253257
a35	0.47335098064	0.271744357011	0.254904657752
a31	0.41125042488	0.280992917004	0.307756654584
</S>	0.33395719544	0.319682457502	0.346360360292
