 	quando	io	divento	vecchia	vendo	la	casa	vendo	la	casa	a	Trieste	vengo	e	abito	a	Martano	</S>
a23	0.014781453619	0.01491603365	0.00474452643907	0.00733821597885	0.00773707551197	0.00869361567985	0.00800830926652	0.00821464333995	0.00863873493255	0.00681906099474	0.0029034365942	0.00438578169385	0.0095269878716	0.036074632367	0.2117964944	0.07761320167	0.47118821352	0.096619599106
a31	0.0107045111574	0.0146267229567	0.00459573460668	0.00794545124506	0.00974008540037	0.00826743473018	0.00529656752679	0.00614395210066	0.00776353500388	0.00644773547149	0.00445065968873	0.011230962983	0.0163690826891	0.0826862763343	0.3142695224	0.0713885999567	0.36801788272	0.050055299842
a5	0.00432397112723	0.0113662240561	0.00210127455285	0.00462933450073	0.00809499422718	0.00577672274903	0.00329121258589	0.00644078718129	0.00604970469285	0.0106669349054	0.00540801607024	0.0146661979689	0.020877134154	0.17817490841	0.425889434133	0.0613688638522	0.209272010108	0.0216022780287
a7	0.002397758814	0.00888059243327	0.00125440091947	0.00276413913597	0.00441674518678	0.0035171098197	0.00191606651446	0.0071733618785	0.00503019614255	0.0130752649263	0.00427363883341	0.0112609790761	0.0156797181263	0.196018938997	0.515381978044	0.0601351203814	0.138717321695	0.00810666405823
a37	0.00198293198403	0.0132919485986	0.00087006080785	0.00117936599068	0.00171560238914	0.0019649001825	0.00120746636586	0.0044736342959	0.0059898219329	0.00916762910917	0.00469690311047	0.014033002418	0.0163656160401	0.159962285432	0.525815677348	0.0781145980711	0.15017216686	0.00899637949608
a7	0.00463338232457	0.019209478459	0.00101364065704	0.000702331209227	0.000785603602984	0.00199365204879	0.00157449731151	0.00581269909429	0.013464178395	0.0108029799096	0.00636155983016	0.0163814938435	0.020307371852	0.143634269451	0.456366199783	0.101196662537	0.178378974058	0.0173810162714
a20	0.00843529351726	0.0169771940257	0.00340144053115	0.00177955010501	0.000766594691712	0.00665691590553	0.00425606139476	0.0186202416346	0.0343950121939	0.0266923770007	0.00936570297672	0.0149327649893	0.0220678304733	0.117735177284	0.355243800594	0.120309530479	0.209521270346	0.0288432440171
a31	0.00927710770282	0.0130091895098	0.00812624914742	0.00567855462104	0.00417787315313	0.018228655925	0.0131797708004	0.0324142948144	0.0400587776974	0.0434188931711	0.00837011582397	0.013347101415	0.0160011466911	0.117321666228	0.329688026198	0.108436042393	0.191504999295	0.0277615407824
a17	0.00965705137687	0.0128767292225	0.00721231766881	0.00581544926276	0.00526535563175	0.0186629512213	0.0149077003467	0.0294153122793	0.0309314172514	0.0410848267663	0.0115798588651	0.0128550006843	0.0121915254893	0.106886847925	0.436315749399	0.0966711893777	0.128360924712	0.0193097992752
a29	0.0143561300388	0.0250968656848	0.00409733771935	0.00358535524701	0.0027522685753	0.0151157687671	0.0116627905317	0.0292867168443	0.0396096669851	0.0430960886524	0.0209620985457	0.0165810743505	0.0172459048487	0.0686910994243	0.482651630933	0.0984262407059	0.0860735820907	0.0207094006328
a39	0.0178540324199	0.0267328498829	0.00339219839626	0.0033662080006	0.00207848134641	0.0192257903114	0.0138162785338	0.0457605896769	0.0509707325885	0.0647321622651	0.0217548385214	0.0159806202047	0.0201919071762	0.0565262890881	0.413349947778	0.133322588122	0.0673762655169	0.0235682438176
a31	0.0165266496458	0.012379963409	0.00299990403809	0.00593992621536	0.00359530561629	0.0375925858585	0.0224280012591	0.0626465955808	0.0439015989957	0.0635821897193	0.0134953542959	0.00974517590437	0.0146685469387	0.0676056248427	0.367704432926	0.144830229147	0.0794849428523	0.0308729840392
a3	0.0210343271665	0.00971986348567	0.00307626856816	0.00654460999751	0.004174947264	0.0403221456708	0.0239184010063	0.0549579181171	0.0337523153102	0.0505873310212	0.02137763324	0.0101271078424	0.0126182513262	0.0816630188476	0.389362464975	0.122113093669	0.0835546877041	0.0310956354571
a29	0.0264580462675	0.0149121182686	0.00296076264452	0.00418767035689	0.00326403401631	0.0273435123529	0.0220374301735	0.0454928136314	0.0401171812794	0.0536713544005	0.03458578914	0.0130970422063	0.0193926117687	0.0703697545225	0.388211272592	0.130550908823	0.0759380313014	0.0274097065697
a20	0.0241963200078	0.0199918121429	0.00279017131528	0.00423425753043	0.00362516921526	0.0268773139123	0.026176584468	0.0533193489502	0.0462807822185	0.0566056439316	0.0317341948733	0.0118628945197	0.0217786279896	0.0544304535142	0.323348476197	0.161416029274	0.104646640234	0.0266853014166
