 	non	aveva	cosa	a	fare	</S>
a31	0.5007257662	0.10842692056	0.25949485234	0.02164512269	0.047067909765	0.06263937609
a18	0.452890666173	0.10041999453	0.2540191078	0.0369955024633	0.078525059695	0.0771496073407
a24	0.417945965278	0.0453379648023	0.185364231497	0.0778931785638	0.147916645658	0.1255419922
a20	0.407054527646	0.0430376268272	0.158815374376	0.109918048497	0.145118813846	0.136055620707
a31	0.476817662455	0.0365755284372	0.151157138992	0.127026735992	0.109504789922	0.0989181584623
a18	0.527018281752	0.0279379769032	0.137664170211	0.118924619157	0.105926045814	0.0825289202074
a31	0.400368203184	0.0417070242144	0.13045133775	0.123488047386	0.141423746605	0.162561647202
a17	0.297294678661	0.0795539029515	0.139363400717	0.117875156795	0.135802005068	0.230110841734
a20	0.308648695554	0.135616572384	0.127553454639	0.106179294865	0.111212571023	0.210789388978
a31	0.234137946118	0.162932289795	0.164585585813	0.111077721422	0.133277015274	0.193989423393
</S>	0.197858555459	0.160742416397	0.189679805907	0.107123810611	0.151293652337	0.193301743696
