 	nella	pasta	metti	sale	vuole	il	sale	</S>
a28	0.23721806604	0.1654666261	0.21409941935	0.08174634376	0.071721534608	0.08601882452	0.09604144624	0.0476877273497
a31	0.171086394627	0.120787339233	0.22707153313	0.0817313326767	0.0830573286307	0.0985301470333	0.190687454613	0.0270484672672
a7	0.138636446609	0.117703008331	0.256003319043	0.0883495032489	0.0761733080382	0.0614047782378	0.244973073604	0.0167565528597
a46	0.129923831461	0.140726554724	0.202257914348	0.0930314123096	0.0896821757727	0.0611452100993	0.266986171401	0.0162467269719
a10	0.111910616848	0.149612084429	0.168708015183	0.0811781822605	0.0905660794176	0.0883954847931	0.2798634296	0.0297661038653
a14	0.0792572834187	0.155500184144	0.154293592594	0.0706979874175	0.0781745258325	0.120296068927	0.299251341667	0.0425290224311
a31	0.0816294801996	0.181656500768	0.118027809331	0.0624336281725	0.0953567339042	0.135950951532	0.288947726556	0.035997186765
a0	0.0771516734265	0.177188409003	0.127494811244	0.0676354548908	0.100098428701	0.122664801311	0.300389558852	0.027376878703
a20	0.0780315312622	0.132072462448	0.114231543528	0.0933357900969	0.0735140719003	0.101952592464	0.375470632284	0.0313913888877
a31	0.0636895394247	0.115024386738	0.0864905582227	0.141836235499	0.0834424411668	0.104285584848	0.374946889428	0.0302843731772
a10	0.113075415006	0.0891833950547	0.0643990794076	0.1478678877	0.116561024656	0.105136040176	0.326494351809	0.0372828046604
a0	0.167106988315	0.139332548552	0.0500565682025	0.144851747633	0.128964267419	0.0920902344853	0.228612757936	0.0489848690135
a18	0.138871797438	0.218340949984	0.0452535708008	0.144460574544	0.138861895673	0.105588659495	0.160123249979	0.0484992989845
a17	0.109697989746	0.260282091195	0.0690875958669	0.117261363515	0.154589874958	0.116765671565	0.12671544786	0.0455999700215
a8	0.0841824633153	0.310602759465	0.107225696956	0.100216401372	0.152427416719	0.109156090135	0.0916847709933	0.0445043899872
</S>	0.0707716612576	0.342053405132	0.118026322978	0.093154435386	0.148856158959	0.103329487887	0.0797861552567	0.0440223592636
