 	perché	aveva	lavorato	tutta	la	settimana	</S>
a31	0.2142851751	0.072912355985	0.175791196	0.0639064761	0.038021699819	0.39027163116	0.04481145198
a20	0.165981176603	0.037140789923	0.174734162222	0.0445174393314	0.0408498232417	0.50399750132	0.032779092996
a31	0.170756907904	0.0232353862131	0.18022301312	0.0504407001186	0.0329569347832	0.511086725507	0.0313003330347
a18	0.140857633355	0.0204179416055	0.195262425004	0.0924965081895	0.0265933229077	0.500701461076	0.0236707274316
a31	0.193748387972	0.0257249603381	0.147774730448	0.135354437266	0.0178726508606	0.463977223032	0.0155476225772
a37	0.218293815391	0.0285877502086	0.115568905609	0.151381516704	0.0177095130182	0.447129694357	0.0213288035457
a13	0.214370383597	0.0225765010095	0.086750969023	0.147894830818	0.0325885441861	0.440884236366	0.0549345290552
a31	0.220975796532	0.0271875634298	0.0880398290077	0.161970001315	0.0583885408554	0.386768551189	0.0566697109651
a20	0.197659446711	0.0353789702899	0.100027346536	0.160732126003	0.103747972278	0.35410267473	0.0483514554684
a46	0.178030850837	0.0371346453633	0.107046534845	0.124822345534	0.149320766693	0.334330717843	0.0693141391561
a31	0.189763538279	0.0477765215411	0.084938737215	0.118621938058	0.153874581031	0.319944196614	0.0850805051187
a13	0.21215659116	0.0669066224004	0.0833981205383	0.107638042753	0.152165587144	0.278256348871	0.0994786991062
a20	0.204919253453	0.0726009379335	0.0965210485128	0.0951829591843	0.165763698381	0.257903095624	0.107109000969
a31	0.175359550484	0.0705352642845	0.0918271789043	0.0946162668614	0.17119102746	0.277910371875	0.118560321656
a46	0.177360039495	0.0895842082015	0.0906362631014	0.0892686874871	0.163681036753	0.262558497958	0.126911253085
a39	0.190747341832	0.1088003606	0.0988441081005	0.0914806929624	0.159345707851	0.222726821986	0.128054958228
a41	0.179815251944	0.1135300614	0.1030494915	0.0988417833208	0.164304098217	0.213283245329	0.127176073409
a46	0.162972049848	0.110951266467	0.0996485406333	0.101885828507	0.167653537672	0.23280984511	0.124078937136
a39	0.154125423683	0.099646522289	0.0899371742111	0.0931473802357	0.161156530557	0.274568683703	0.127418291712
a8	0.152406819628	0.0923854278297	0.0812895228704	0.0968133948119	0.160262561186	0.293648548568	0.123193738104
</S>	0.149126307614	0.0912935303148	0.0775036436352	0.110551219006	0.166374433093	0.290540465284	0.114610405352
