 	lo	sentii	che	viene	</S>
a43	0.4989132036	0.3325098625	0.045599730376	0.0051174148775	0.117859784469
a17	0.42749124756	0.435927917233	0.0609716087453	0.00432407313777	0.0712851658003
a11	0.29340759748	0.494972964344	0.106362298115	0.0415215308471	0.0637355977369
a31	0.223449291893	0.566522804875	0.10184750333	0.0570498535676	0.0511305426515
a46	0.288188776098	0.567734241185	0.0897432722287	0.0268583909031	0.0274753301176
a6	0.394389341366	0.404940387728	0.11677815977	0.0602242120764	0.0236678886671
a31	0.488220847789	0.319034911509	0.100954734057	0.0733187166921	0.0184707721357
a15	0.52069178593	0.289372054036	0.089841467219	0.070476549964	0.0296181244252
a20	0.447908753977	0.241328378145	0.118655502473	0.124159539321	0.0679478301417
a31	0.423881085992	0.220923559248	0.134665218158	0.144398741707	0.0761314067139
a17	0.446656007997	0.193837422149	0.127905944719	0.134689614702	0.096911024838
a31	0.426132063999	0.20141345245	0.14418991024	0.117800826434	0.110463782946
a13	0.387383378	0.21819157935	0.153335289547	0.125364525611	0.115725249649
a39	0.345924785067	0.22924899965	0.149237391982	0.139467869004	0.136120949883
a46	0.345643170089	0.234989005217	0.151982835994	0.134311624001	0.133073365961
a31	0.301338543363	0.231985141739	0.182947268331	0.148940587734	0.134788474854
a18	0.277726105788	0.22272916658	0.190037499777	0.163818928845	0.145688317818
</S>	0.301669126894	0.20727038029	0.164078627889	0.168147570222	0.158834305909
