 	l	ha	scritta	</S>
a20	0.40495708285	0.094776194355	0.3537475289	0.146519200695
a31	0.340544468357	0.0941124527083	0.483825670367	0.0815174213385
a35	0.323010840859	0.0666696589141	0.567055351656	0.0432641674702
a31	0.278530272153	0.111795043989	0.577068127219	0.0326065758841
a35	0.228220040318	0.187520754523	0.539349429073	0.044909790366
a31	0.268136930106	0.252566892841	0.425292656624	0.054003547288
a41	0.280678126702	0.278468323707	0.365832655808	0.0750209151547
a31	0.274498053834	0.219571733682	0.351819875269	0.154110341521
a11	0.325340720211	0.195986115827	0.271690752756	0.206982417727
a18	0.344706921404	0.232437046416	0.217543119252	0.205312919242
a13	0.321807233135	0.252047280112	0.236498690684	0.189646792481
</S>	0.295491982567	0.263051988256	0.258545352742	0.18291066724
