 	siete	cucinato	</S>
a20	0.6901711075	0.108139910875	0.201688995914
a31	0.662392951167	0.144885505585	0.192721559285
a18	0.713276145722	0.200602070496	0.086121805747
a21	0.777900841907	0.166852549467	0.0552466339955
a37	0.793109777969	0.157263506982	0.049626728433
a21	0.749825496656	0.163617049594	0.0865574537177
a31	0.689476373885	0.181250311731	0.129273303306
a18	0.575079662962	0.201086736577	0.223833562702
a31	0.457937205654	0.247545869392	0.294516880901
</S>	0.438492649827	0.284361143896	0.27714616845
