 	lo	sentii	ee	che	arrivava	</S>
a15	0.328046558207	0.27514714645	0.15044835346	0.040601067881	0.054438127526	0.151318718894
a31	0.239604313207	0.353309558689	0.147021568073	0.0456496951043	0.106251849159	0.108162970596
a46	0.184437549736	0.426676619235	0.13215347849	0.0275177827088	0.168954453073	0.0602600869033
a8	0.182977190905	0.258044243952	0.195665452163	0.0154027436136	0.317208654348	0.0307017142998
a31	0.128014594562	0.108456234391	0.210506000454	0.0226121559372	0.509943995516	0.0204670228973
a23	0.075904161402	0.056542168093	0.204918669085	0.0263432769811	0.616087243172	0.0202044848398
a8	0.102216885515	0.0235285527103	0.294971575095	0.0206363548937	0.530396041724	0.0282505844986
a38	0.125199894196	0.0153040911068	0.345836652365	0.0286946012379	0.440656317241	0.0443084314895
a20	0.114027706893	0.0183855616756	0.284023153255	0.043230895016	0.476575085747	0.0637575986832
a28	0.107625201388	0.0327678919052	0.234230488752	0.0574790978153	0.498622605916	0.0692747078277
a20	0.105933453089	0.0478769195751	0.202598730917	0.0696781250918	0.512485335305	0.0614274187426
a23	0.109729059896	0.0603352824384	0.197990487972	0.0825517234439	0.493850337768	0.0555431195142
a31	0.0934687682007	0.0491854484028	0.276832533991	0.065959851968	0.464099861923	0.0504535497927
a29	0.0983622126756	0.0387887522243	0.319194569664	0.0522803252693	0.417364039308	0.0740100974856
a33	0.124844822859	0.0474604214748	0.311409247288	0.0676050353764	0.358781081636	0.0898993839619
a29	0.137774307386	0.0627387086916	0.324499721829	0.0761905074121	0.309876941079	0.088919814054
a27	0.157567057529	0.0946145405639	0.30057417501	0.0745154924707	0.265668919026	0.107059833751
a46	0.18588987291	0.138135679255	0.27290288327	0.0772708929569	0.221361429009	0.10443925825
a20	0.210473559237	0.150377712552	0.253556604957	0.0972047185856	0.19893643367	0.08945097035
a31	0.185235747879	0.114579807984	0.273572039986	0.0965660425285	0.245745874557	0.0843004899833
a7	0.175385144493	0.107118270328	0.263968901662	0.100464826109	0.248863971519	0.104198882728
a1	0.197672791498	0.131861727443	0.209818831221	0.13492927137	0.204529179173	0.121188186309
a20	0.180687940499	0.128166218348	0.187723379007	0.150917083123	0.226822205458	0.12568316937
a31	0.148741756833	0.103901933583	0.202214236602	0.151014290708	0.256838076886	0.137289704723
a20	0.155631896944	0.107537929461	0.209028495867	0.159532072303	0.221107770962	0.147161829574
a31	0.154243675915	0.12156567482	0.209772636956	0.158438664634	0.194291842521	0.161687495191
a23	0.152388138238	0.129813464607	0.204472238319	0.162042280811	0.18247014104	0.168813732064
</S>	0.172771292119	0.138354307304	0.192013933159	0.175891126106	0.15593279052	0.165036551532
