 	vuole	pianto	</S>
a39	0.81671018	0.0746854507	0.108604369965
a31	0.785283612667	0.140747345167	0.0739690385457
a41	0.626834015556	0.292704055322	0.0804619266572
a31	0.510726147852	0.367307331574	0.121966529656
a37	0.604548211284	0.267540090858	0.127911706335
a11	0.713526233095	0.190033743486	0.0964400209517
a39	0.646363189032	0.261654783829	0.0919820223839
a31	0.514059879677	0.348563355943	0.137376754128
a46	0.403887818892	0.414175019314	0.181937145376
a31	0.307140032631	0.405456751905	0.287403205125
</S>	0.279470972315	0.352429235153	0.368099788563
