 	Marisa	e	Nico	ee	non	hanno	mangiato	mai	</S>
a31	0.129817380406	0.155715919858	0.136844835298	0.080788752959	0.0185033792094	0.152549534908	0.239226791138	0.0624739190265	0.0240795086849
a24	0.138469782946	0.140076066519	0.13176190535	0.0927302229703	0.0267184566365	0.18953808436	0.187884809104	0.0667162605762	0.026104422241
a18	0.139731459824	0.0852844110397	0.12982971725	0.0889031425701	0.0417785602455	0.2956163471	0.120144501221	0.0581025717907	0.0406092816682
a31	0.145905416448	0.0627025995466	0.12404887495	0.113100039457	0.0556650451085	0.314359625633	0.104949773327	0.046913690383	0.0323549178339
a37	0.167098173616	0.0475986725155	0.125053568517	0.128298327952	0.0515298533962	0.325160844944	0.0945879710294	0.0377661674351	0.0229064161348
a21	0.146593235625	0.0364508962385	0.0873794987257	0.0828238118507	0.0427975369987	0.420508551315	0.0917930721431	0.053283551875	0.0383698529258
a31	0.114469840028	0.0510144124795	0.132318207729	0.0969017908836	0.0447439089062	0.371851791438	0.098247172101	0.056797384275	0.0336554970479
a37	0.102877726609	0.0975717132332	0.189770453843	0.103974710201	0.0417669621554	0.289308963146	0.096653305087	0.059004206625	0.019071940828
a19	0.0773847697363	0.104294857951	0.207082208014	0.0839129846403	0.0652395483985	0.267180924715	0.106211414029	0.065577830875	0.0231154362227
a37	0.0548554070134	0.070572096517	0.232302249471	0.0806936143468	0.0792734035328	0.267784112572	0.106831770916	0.0671620262917	0.0405252982969
a31	0.0653425422391	0.068939376799	0.22232747349	0.0733990632489	0.0612047649109	0.252332583791	0.126123584745	0.0787933744972	0.0515372217216
a39	0.0733231774397	0.0872397681223	0.298576022563	0.066013659187	0.0490364291236	0.176485870197	0.130216896648	0.0779047914364	0.0412033851605
a35	0.0659206763866	0.0876565051368	0.422085957254	0.0631825007663	0.0398676491945	0.129136941799	0.0957304141893	0.0635009121495	0.0329184469735
a20	0.0730152115289	0.0856757337523	0.361018160685	0.0766290099221	0.0498497014648	0.159694605	0.0914337848364	0.0615277728498	0.0411560154445
a31	0.0992344540296	0.0989375751574	0.208482602028	0.083894819174	0.0548010530883	0.219955923533	0.102588193879	0.0769487836833	0.0551565828682
a33	0.0973305004765	0.102556733186	0.223645197543	0.0867207301247	0.0472149654294	0.190471440778	0.10800852116	0.0859564793611	0.0580954090227
a23	0.0785318114922	0.0867421157953	0.275183546314	0.111586785175	0.0535112521431	0.160817730459	0.0975924635867	0.079930311587	0.0561039562209
a31	0.106298681497	0.0706392418318	0.221842436571	0.128940737325	0.0589639955144	0.189548174886	0.0879857151956	0.081308976329	0.054472011287
a37	0.113079752632	0.0677605349773	0.239116474857	0.113366300508	0.0699875931048	0.171171621229	0.0951357402652	0.0773186301097	0.0530633431623
a31	0.116750839811	0.0765436149924	0.234888870552	0.0849623653693	0.0860512144349	0.133459363743	0.114825306088	0.0903268798366	0.0621915722541
a3	0.120364600204	0.0835756661975	0.229895127117	0.0754754458564	0.0961321252116	0.118512675648	0.113187574563	0.0957800104789	0.067076815418
a11	0.101876279935	0.0835794069992	0.269125754372	0.0991273396855	0.100776277871	0.110838837416	0.095730833121	0.0770318673596	0.061913428606
a31	0.116779876912	0.0891038523331	0.215722038257	0.110600264628	0.098953897357	0.121034187605	0.0940021426403	0.0864926694532	0.0673110697353
a37	0.120456082637	0.0959543854444	0.197494402886	0.0973414114093	0.0992547128523	0.124710161002	0.0946587951468	0.0960728908177	0.0740571599784
a11	0.108816071879	0.102263830615	0.233235279629	0.111187597603	0.0905756779508	0.115262530601	0.0851134315156	0.0839075969392	0.0696379992595
a39	0.103060141293	0.101322890738	0.268549366543	0.125261770268	0.0788587321836	0.109422821067	0.0769380123052	0.0729960947131	0.0635901796065
a20	0.0975550311243	0.090904991246	0.260921463514	0.149329739423	0.0745736385279	0.130063796022	0.0711883891684	0.0659330094377	0.0595299319355
a44	0.0942227653348	0.0915664310153	0.219007772505	0.179007054741	0.0820028804426	0.139463132341	0.0715770002561	0.0669927648126	0.0561601808585
a31	0.0921103904449	0.0920478910051	0.172716162968	0.15745684278	0.0931461008142	0.13162657918	0.098191953952	0.0955170631375	0.0671869960862
</S>	0.0914299814225	0.0860086475025	0.135199966684	0.13219139819	0.0966272944071	0.13740754259	0.121631780976	0.120017528569	0.0794858390431
