 	essendosi	vestito	</S>
a46	0.52836140422	0.4617916599	0.0098469274848
a31	0.411023443353	0.575106997967	0.0138695436189
a18	0.347472963518	0.630055399989	0.0224716184436
a31	0.480883902506	0.49569684053	0.0234192587045
a20	0.501697990835	0.442748207377	0.0555538118315
a46	0.459019213212	0.446325623792	0.0946551565438
a20	0.452750176671	0.413686132864	0.133563693715
a31	0.40081845689	0.413399079221	0.185782493238
a0	0.40834239063	0.397674996807	0.193982638813
a46	0.42239850521	0.387170044002	0.190431447338
a35	0.441597014403	0.347500148667	0.210902831779
a46	0.474503856801	0.295803319556	0.22969282926
a24	0.5010168676	0.282599208519	0.21638392042
a46	0.506410464533	0.283279513506	0.210310009473
a24	0.497969932844	0.297703678502	0.204326387158
a31	0.455426425415	0.357340971501	0.187232606386
</S>	0.421908030408	0.391870437751	0.186221524193
