 	ho	messo	uno	specchio	sul	muro	</S>
a8	0.2788609058	0.1032863052	0.0168671750123	0.0664592171289	0.3379924826	0.172768570791	0.02376530036
a31	0.219164782987	0.149330579667	0.0157284836883	0.077739268992	0.304601106867	0.213436679852	0.0199990776833
a17	0.151572242561	0.152613975422	0.0105658355837	0.104584998554	0.317456240289	0.250580852518	0.0126258719978
a11	0.109875526962	0.171206869454	0.0076805537595	0.106023882059	0.292938192096	0.265399491013	0.0468754968213
a31	0.076304989046	0.228367415065	0.0156492856605	0.0950141815143	0.327805634899	0.201004687152	0.0558538058618
a20	0.0620650743553	0.332729936582	0.0195867751635	0.0903413845182	0.2982675201	0.156030530395	0.0409788039533
a31	0.117719604369	0.363404805954	0.0194534426612	0.0882975942579	0.2669079623	0.10703982385	0.0371767844644
a37	0.217096269274	0.307152051945	0.0199539458871	0.083741791989	0.242522628433	0.089512099658	0.0400212152281
a24	0.272851437895	0.278155740408	0.0230416274757	0.0555805704577	0.151271599011	0.143081509153	0.0760175278094
a28	0.236838431332	0.203327953669	0.0256484451452	0.0459491584406	0.213316229537	0.174121678651	0.10079811447
a31	0.199228643431	0.15492001849	0.0302725543017	0.0376838941735	0.289726251579	0.171148741484	0.11701990469
a24	0.267333224924	0.127578693897	0.0367026820339	0.0397194033045	0.24438867386	0.149431179361	0.134846125897
a35	0.312991056308	0.108654058966	0.0383774060113	0.0567233823682	0.207952693753	0.13237450852	0.142926850432
a31	0.256165094969	0.101440243655	0.0696184544038	0.0983561449227	0.193536620118	0.13546013884	0.145423275477
a20	0.240178059856	0.0902142211517	0.0872520098679	0.114388440574	0.195088672706	0.125294722947	0.147583853399
</S>	0.261737355428	0.0854672480758	0.0775925559339	0.102062820287	0.214044822353	0.112294069473	0.14680110306
