 	se	vieni	alle	sette	ancora	non	è	pronto	</S>
a10	0.3552206601	0.17035259274	0.037357182026	0.21146633152	0.08100210499	0.062251121099	0.00940310770885	0.00504101222642	0.0679058881
a15	0.309167609367	0.163498440553	0.0259137587634	0.18159507336	0.125332634757	0.0856664962844	0.00740454250338	0.002558277918	0.0988631878107
a31	0.242631391189	0.0866318051577	0.0190006979744	0.271365652548	0.13596592045	0.0916708351569	0.0227787275598	0.00282312599015	0.127131869948
a21	0.194217374876	0.0583718530126	0.0147870695297	0.271254963537	0.184312574201	0.136920929998	0.0458399765069	0.00619263394322	0.0881026212093
a31	0.113327046905	0.0415962365109	0.0175438075871	0.285227368979	0.238329126934	0.155785562666	0.0711110931023	0.0195988514459	0.0574808804231
a8	0.0749197587017	0.0383956011436	0.0192311687741	0.282603312166	0.228483745578	0.171030194155	0.0678728044348	0.0239639574842	0.0934994388877
a31	0.103446042967	0.0633679275412	0.0195201140292	0.234735361629	0.197375643726	0.190370831252	0.0567058392049	0.0326657607555	0.101812473093
a20	0.159798715522	0.10781430454	0.0212624710929	0.21969659589	0.187134277909	0.160304741017	0.057547898755	0.0412087352232	0.0452322519277
a39	0.238502944307	0.14714140458	0.030678763063	0.174036622563	0.153504658836	0.129262438206	0.0551670952783	0.0380727061764	0.0336333594159
a20	0.275843602102	0.16886386026	0.053865468045	0.183487153174	0.105497359812	0.089054068802	0.0528792046261	0.0362864766455	0.0342228006586
a46	0.228601059787	0.16752744902	0.098304430015	0.206823584191	0.112947762604	0.0690886494673	0.0472279429287	0.0343564658898	0.0351226519995
a31	0.207979531042	0.125544077273	0.0968098796983	0.189960727997	0.142892898801	0.0797763046224	0.0606926700962	0.0458547860246	0.0504891180665
a39	0.195799493574	0.104803105091	0.0762547203928	0.155827624399	0.153617064134	0.0979800078741	0.0812653622521	0.0630354873215	0.0714171322888
a31	0.180649471958	0.105524742557	0.0794391178643	0.123897785333	0.140884709578	0.117630944958	0.0899594294374	0.0726141857272	0.0893996050296
a20	0.166318876019	0.113012249312	0.0941648573548	0.101886352311	0.134089829059	0.118595507586	0.0936975631458	0.0797672513157	0.0984675130099
a31	0.136891604053	0.114143051571	0.110582321052	0.106666521437	0.121633467953	0.134308827862	0.0972417331153	0.0831390051386	0.0953934719366
a46	0.127942316598	0.127764364324	0.115547473617	0.120027843412	0.104156781984	0.132062018021	0.0948075961718	0.0832308308462	0.0944607735789
a31	0.129074463133	0.130084557641	0.123849829206	0.135670666071	0.0969182679947	0.098110743607	0.0938615569239	0.0838915730821	0.10853834786
a46	0.128452402511	0.117924032747	0.128628205069	0.14444759969	0.0945427623982	0.087424559069	0.0963176148413	0.0933983144274	0.108864523553
</S>	0.114647499556	0.130701868374	0.136098666534	0.141346788345	0.0975745877991	0.0818408952345	0.0967672346206	0.105115720314	0.0959067561765
