 	ora	ho	finito	di	scrivere	</S>
a23	0.5220896103	0.20541737603	0.076139821013	0.035902922221	0.0340925108868	0.126357758582
a31	0.4708971055	0.30151790601	0.086842303379	0.0619798998543	0.0201819516955	0.0585808099283
a28	0.383095677367	0.39202323847	0.115775649526	0.0703799909728	0.0163273867307	0.022398040867
a31	0.385002675322	0.382126239957	0.142055065909	0.0695153411749	0.0117410494294	0.00955964492767
a41	0.436263094507	0.341809300652	0.136422114023	0.0665832066116	0.00848734182827	0.0104349677659
a21	0.503294838236	0.279591302284	0.124759687114	0.0586597855039	0.0109891775188	0.02270520743
a24	0.528670738745	0.196592689095	0.105990718785	0.0895523401013	0.0350791745596	0.0441143062367
a31	0.482755576715	0.126739724632	0.138707758222	0.126644321034	0.0548487592732	0.0703038331456
a39	0.356236412372	0.106998220211	0.151314589474	0.134535587011	0.0947179609111	0.156197208715
a31	0.274275422457	0.105315655897	0.128467621558	0.142548843004	0.150967231837	0.198425210905
a28	0.286505074086	0.110799939126	0.122958308586	0.148934481001	0.157495679412	0.173306510302
a31	0.235636950922	0.119296697842	0.123663449529	0.151465469667	0.169158352204	0.200779073434
a20	0.217825666401	0.114444484614	0.127879900776	0.169835185222	0.172358263401	0.197656474478
a37	0.2748952526	0.113079348071	0.129003544925	0.168442662141	0.154207659134	0.160371487493
</S>	0.2993805283	0.117904623036	0.131707117462	0.15264738667	0.151512548567	0.146847748747
