 	stavo	al	telefono	e	mia	sorella	non	la	è	sta	e	dorme	</S>
a23	0.333689401489	0.039880418683	0.10830313852	0.132930457013	0.04779546817	0.0252425813912	0.003264872908	0.00804074796185	0.0145831105467	0.03891215714	0.0784370425	0.07165120691	0.097269387516
a31	0.30053840705	0.0381530397477	0.0768340432073	0.108685787291	0.05138442681	0.0375968151116	0.006039406148	0.0133157476899	0.0168479224723	0.0518541609427	0.13575126876	0.119262467123	0.0437364991293
a7	0.31705551337	0.0253128030492	0.0649455290571	0.0657347413837	0.0375056991233	0.0463802153963	0.007358088466	0.0178697275842	0.0142008245741	0.0570238766836	0.189377696687	0.139943618723	0.0172916563498
a20	0.33705124227	0.0201380016297	0.0918235228424	0.0781011386612	0.0323027891211	0.0406653001752	0.004974016936	0.0202114791433	0.0114372326868	0.0479290278012	0.172058851336	0.125088384776	0.0182190264273
a17	0.335609265597	0.0393573541432	0.133475597848	0.114500013354	0.032099491287	0.0310660727271	0.005609697096	0.0348886531101	0.0120205735496	0.0320428140804	0.104553491512	0.0975740994053	0.0272028856551
a39	0.281672294546	0.0584801108611	0.154014798019	0.122164836858	0.027561333789	0.032055142116	0.00988941988267	0.0537959643967	0.0235879865115	0.0444821265868	0.0837160099707	0.0748657559751	0.0337142003204
a31	0.216831958702	0.0792050946737	0.174725078744	0.134764536426	0.0356643440897	0.0272719079769	0.00985102188822	0.0478830371942	0.0266401536825	0.0466603524023	0.0960496734169	0.0757514813984	0.0287013428468
a13	0.214756409967	0.0836736371979	0.218811070599	0.134968540495	0.0351102995299	0.0162198538776	0.00805007329087	0.0290379768867	0.021078764068	0.0700084098028	0.092477590699	0.0500027029928	0.0258046633592
a17	0.206964016522	0.0565256072526	0.257578645138	0.122882710625	0.0217128724766	0.0104158040715	0.00864541298576	0.0221952233356	0.0214253349085	0.116456322896	0.0876118241063	0.0297108290109	0.037875397126
a3	0.187025231841	0.0654072526975	0.236506735213	0.130339984582	0.0284672045589	0.0093103103966	0.0127227591899	0.0276412050785	0.0215369097162	0.118996782905	0.105823645909	0.024606957497	0.0316150159087
a18	0.14810853728	0.0703546007525	0.184767212418	0.138036449927	0.0494265335263	0.00755848809733	0.014018550391	0.0300121915395	0.0213171208998	0.134163978502	0.160512412503	0.0255212721657	0.0162026406309
a31	0.14450271664	0.0558607586562	0.125830099693	0.118798771682	0.0690683033821	0.012526567327	0.0104535598634	0.0258722876798	0.0180405901058	0.116648091367	0.231226919834	0.0609052772552	0.0102660324676
a37	0.158425354293	0.0530405979507	0.125829091198	0.150494364601	0.0648615969607	0.0145660422741	0.0102657452531	0.0303032937733	0.0162629465521	0.0883714453157	0.208774278578	0.0711716771251	0.00763353521587
a41	0.131477771524	0.0595639589636	0.151557399066	0.230243693467	0.0552959418202	0.0100533835129	0.00940500326837	0.0376905056178	0.018123150596	0.107919692899	0.141510500039	0.0395232917084	0.00763567888529
a35	0.116006252308	0.0603308315079	0.138717437155	0.276152399822	0.0647946030734	0.010688640607	0.00975184150946	0.0451388213393	0.0208451143476	0.106808343566	0.113403786393	0.0292289313428	0.00813296466843
a31	0.142105071756	0.0491064975293	0.104089634945	0.245812871361	0.121968001871	0.0155053519623	0.0138831259885	0.0468059946731	0.0208913608235	0.079131767122	0.110599595164	0.0397731305009	0.0103275875775
a24	0.177774024665	0.0430504676431	0.0776372509083	0.23711641794	0.13323924067	0.0198758548068	0.0182984103962	0.0480554777844	0.0203393405145	0.059461995174	0.105606065655	0.0475996347003	0.0119458273672
a37	0.183263180888	0.0450874590144	0.0644883287361	0.230313402513	0.0952370237567	0.0260717501549	0.0206935094921	0.0541889138615	0.0258147895982	0.0618292829247	0.133384203685	0.0458862513268	0.0137419097691
a29	0.208502544296	0.0491135708715	0.060965549512	0.171720594904	0.0950035768522	0.0310208186383	0.0237733174307	0.0568934750872	0.0302016035461	0.0599408321749	0.147619400362	0.0468566397089	0.018388080083
a24	0.269076311432	0.0508424934238	0.070389064504	0.161871010501	0.0929047571507	0.0286196074728	0.0253978375836	0.0532567821624	0.0290695700487	0.053098284525	0.101191513121	0.043896898903	0.0203858556277
a46	0.291828049411	0.0505116430746	0.077836519768	0.138559250834	0.100433468317	0.0408606928309	0.0267229321945	0.0533007459875	0.0315261345362	0.0506335209083	0.0730197548403	0.0428289505677	0.0219383230492
a31	0.229852466337	0.0435073807582	0.104678472989	0.141436881078	0.0950372207723	0.0559539536423	0.0310667146248	0.0613904863958	0.0317236256321	0.0471116013694	0.0707010797468	0.0512710710292	0.0362690459897
a20	0.197694645779	0.0412334534527	0.099927230863	0.139062351693	0.0980864005241	0.0565099399794	0.0398279192083	0.0654046054653	0.0307808404107	0.0449238101898	0.0792713635823	0.0632077351164	0.0440696969566
a31	0.196196972393	0.0449266472176	0.0654438808877	0.105513836898	0.091916940508	0.0495176258065	0.0434449961361	0.0625619353551	0.0361308973369	0.0551163775299	0.0927909293274	0.0881376787055	0.0683012697455
a0	0.148567904864	0.0552287598059	0.0561234418959	0.0872181502993	0.086343295436	0.0533546520155	0.050315286712	0.0665186867184	0.0401755877123	0.0577940593766	0.0992939465758	0.117047219968	0.0820190075152
a31	0.124301766488	0.0601753397353	0.0511611018986	0.0707968351664	0.0846975321453	0.0548581984718	0.0535666632373	0.0641039671728	0.0444944619041	0.0558242284589	0.103635567859	0.140240820923	0.0921435242384
a46	0.112191316829	0.0623322647118	0.0516741640995	0.0643627608555	0.0706326258484	0.0525448328906	0.0537821754791	0.0594899265909	0.049832536168	0.0581584286863	0.10826050662	0.158269684974	0.0984687689461
a33	0.0926822956097	0.0706079911706	0.0559095706332	0.0619936492185	0.0720019516828	0.0591770678969	0.0641450396264	0.067154104197	0.055264506856	0.0612433664288	0.102160527073	0.165962247525	0.0716976756487
</S>	0.0839602316048	0.0711256115853	0.0578003550166	0.0619367626093	0.0687107328414	0.0593133119484	0.0682128928132	0.0688799274985	0.058697889028	0.0654305602144	0.100025524836	0.171851024563	0.0640551831244
