 	è	che	stanno	ancora	alzati	</S>
a20	0.242268561556	0.037716794616	0.327254227086	0.097594936825	0.161067340755	0.134098128686
a31	0.186793385827	0.042235177812	0.261508181945	0.132472435386	0.219254258419	0.157736571809
a20	0.145516439095	0.0337591600173	0.159561651251	0.140825395896	0.392540693302	0.127796680795
a31	0.0606337966379	0.0666744509724	0.12684354777	0.180771218068	0.49491781185	0.0701591939103
a20	0.036520619224	0.115923795751	0.218799122323	0.146753267823	0.431629218628	0.0503740024434
a28	0.028232687428	0.135920423984	0.410198517441	0.083180169461	0.260390456157	0.0820777671611
a31	0.0325854130027	0.127151300195	0.372585945947	0.123808253154	0.250646721712	0.0932223828137
a29	0.0581254480276	0.140012431598	0.295738232116	0.162166790518	0.238409512344	0.105547583098
a46	0.0896062633092	0.163315426933	0.271435538439	0.188799214906	0.126842096181	0.160001459433
a31	0.0954539764697	0.160292667844	0.21098184068	0.190958823902	0.133617441794	0.208695260011
a20	0.109648250757	0.165881894148	0.216156321693	0.140982291767	0.159583402798	0.207747825337
a31	0.123519460586	0.152686351583	0.212016029231	0.129053082456	0.169218427933	0.213506632446
a39	0.131026539529	0.144963279661	0.20055289481	0.122720385952	0.190071388644	0.210665512282
a20	0.135285090376	0.152496972554	0.209362005803	0.108253733717	0.230623419815	0.163978779894
a8	0.150317735325	0.148302460851	0.183615042401	0.0960371357723	0.284008062872	0.137719552831
a20	0.165955129775	0.148868370284	0.1506671624	0.0955024389241	0.312548417824	0.126458470144
a24	0.184935891658	0.163366963428	0.146605363533	0.0991010893747	0.288973278008	0.117017421381
a46	0.183215190953	0.156300460343	0.170267391911	0.106761045592	0.270129261469	0.11332667006
a8	0.155974872718	0.133547619714	0.180137120237	0.126285859331	0.282637228956	0.121417317153
a23	0.146605502373	0.126860318171	0.163595483412	0.129089891044	0.317552223652	0.116296598251
a8	0.145637682791	0.123530311924	0.153947218204	0.124872845415	0.337746845684	0.11426511975
</S>	0.153127505795	0.125043230962	0.157598357702	0.124699192508	0.319010332842	0.120521406875
