 	le	ragazze	vogliono	guardate	</S>
a10	0.176905064193	0.0933507757285	0.3146482787	0.3710902934	0.04400560905
a20	0.163631321913	0.103670748207	0.338527359633	0.354652148133	0.0395184405833
a31	0.135830874702	0.121809776449	0.276136738091	0.443537139178	0.0226854898704
a20	0.110763965139	0.166813124778	0.259689172644	0.441085017659	0.0216487342595
a11	0.134215840594	0.164399606473	0.317500697748	0.355209291086	0.0286745621732
a31	0.158558303778	0.101337255118	0.311456232583	0.396975844295	0.0316723645617
a0	0.180370540866	0.0756024804127	0.319838841268	0.360600638798	0.0635874748552
a31	0.187799592309	0.0687407879376	0.245049552829	0.421831012433	0.0765790262224
a39	0.176018392043	0.0617406341459	0.197571788276	0.479604807278	0.0850643613075
a18	0.160477977681	0.0777564183153	0.235962299652	0.405038773226	0.120764535876
a31	0.136225465067	0.0904545051718	0.197364292444	0.421774088542	0.154181669125
a8	0.118541605862	0.0990934918173	0.167144275415	0.452060085114	0.163160546728
a31	0.0946882286873	0.105384990566	0.243412141738	0.393778257638	0.162736386263
a46	0.0800393230958	0.112483366789	0.240936028246	0.387786158546	0.178755114508
a18	0.0927126416986	0.131087928796	0.144357969815	0.477341868182	0.154499571789
a35	0.1220339507	0.135901523199	0.109432839805	0.501978607394	0.130653063996
a31	0.151981899567	0.164921645	0.138515366002	0.405358455798	0.139222620332
a39	0.162974084522	0.173619994067	0.149898486601	0.358400601266	0.155106824577
a8	0.169772198174	0.153887649756	0.1369175578	0.386465235089	0.152957356859
a23	0.187058696058	0.157607364985	0.1558206166	0.353086448363	0.146426864353
</S>	0.193599137029	0.155253454092	0.1572785859	0.347744958181	0.146123850976
