 	mi	sono	vestito	</S>
a39	0.896773612	0.0158474374804	0.034886554202	0.0524923714904
a11	0.841365080467	0.0239849109985	0.092861764094	0.0417882171215
a13	0.678084702622	0.0479515956843	0.202152977398	0.0718106972145
a18	0.473235660041	0.0783023322948	0.298993802533	0.149468187871
a31	0.324317387047	0.103520858225	0.343553879378	0.22860787309
a37	0.392383184882	0.111503996962	0.281515246593	0.214597579297
a15	0.416974766961	0.144264907921	0.197013372464	0.241746959832
a31	0.378795562987	0.16141257864	0.179725736155	0.280066135277
a46	0.394619153662	0.20230697508	0.166990801385	0.236083070292
a31	0.325938024221	0.248155969693	0.185231577795	0.240674406764
a20	0.30408381174	0.248772828764	0.204331703932	0.242811619255
a31	0.29314329858	0.255872565788	0.225010715977	0.225973402085
</S>	0.25795276429	0.254368987894	0.260152789988	0.227525463042
