 	non	sapeva	dove	a	stare	</S>
a20	0.2582402895	0.01854564486	0.3454601394	0.03045215605	0.229280662196	0.1180210731
a31	0.263308634693	0.03841378792	0.311208087133	0.0318453046433	0.235908847949	0.119315330353
a37	0.20665011338	0.047276085168	0.234612121444	0.0451145906678	0.391646658376	0.0747004404483
a38	0.175638484145	0.034468883636	0.214674754215	0.0605107545959	0.440557025867	0.0741501060001
a31	0.175296318218	0.0232092939507	0.305996357405	0.068194209852	0.308895409224	0.11840841336
a41	0.136852989846	0.0167897377196	0.328155152802	0.076732079724	0.283370397775	0.15809964152
a10	0.0823611192087	0.0137010411245	0.256063206134	0.0733868476013	0.382659000858	0.191828781953
a20	0.0422538551562	0.0124074957835	0.179076288298	0.0617423460804	0.481540340353	0.222979653691
a9	0.0317336316287	0.0204525002012	0.0957844163427	0.0637149132401	0.549064515118	0.239249998057
</S>	0.0314851807393	0.0278518328506	0.0778389254564	0.07013422112	0.549515644559	0.243174187029
