 	sto	ancora	cucinando	</S>
a20	0.16232142138	0.161603786408	0.50199543145	0.174079369676
a31	0.213422893928	0.178748478375	0.472827086043	0.135001544395
a37	0.231031409572	0.167009149018	0.468577940641	0.133381512049
a20	0.173796605881	0.130502074166	0.537525567014	0.158175767859
a31	0.183610060336	0.126542005922	0.534590591538	0.15525734094
a30	0.251651252379	0.155289250574	0.472413765513	0.120645733947
a46	0.284902309726	0.193789852858	0.389690680304	0.1316171602
a31	0.243160020375	0.171308142953	0.440470874768	0.145060958327
a39	0.323525706592	0.135698549918	0.424970555923	0.115805183509
a15	0.527455146197	0.129204603639	0.241640496641	0.101699749043
a20	0.603526178732	0.13173763328	0.170671140547	0.094065034021
a22	0.588615625577	0.134541870827	0.164929873516	0.111912607074
a31	0.467842793192	0.168934226942	0.231674207172	0.131548750158
a46	0.366232916397	0.202671591914	0.266738783724	0.164356692319
</S>	0.363974096198	0.210415252957	0.238223511862	0.18738712916
