 	sto	e	cucino	</S>
a31	0.22267102962	0.43257742333	0.151776406119	0.192975155794
a20	0.220805970151	0.361363332397	0.224503703106	0.193327019445
a31	0.249765338234	0.294318704592	0.268911543058	0.18700442404
a37	0.286487119811	0.321246781944	0.247596745144	0.144669362716
a18	0.33352117527	0.323443457848	0.248910011661	0.0941253721887
a31	0.369371660023	0.303766314416	0.231588650444	0.0952733870589
a20	0.378931854274	0.269549411672	0.240392049015	0.11112669762
a31	0.376807153958	0.240616162957	0.263905916438	0.118670783807
a28	0.357250420519	0.317733338986	0.219115835613	0.105900427736
a33	0.335569819506	0.367114860062	0.199318739204	0.097996608912
a31	0.276665336502	0.322016807754	0.243068513401	0.158249361304
</S>	0.242820389251	0.293260824877	0.259934910701	0.203983884652
