 	vogliono	girate	</S>
a31	0.6723790079	0.22018932	0.107431674541
a20	0.5859274601	0.36416079	0.0499117502997
a31	0.574276284833	0.400268437333	0.0254552850339
a18	0.580242308011	0.373465474711	0.0462922301163
a46	0.454226973204	0.444028572504	0.101744458099
a31	0.394526493868	0.473183875501	0.13228963294
a3	0.372020571556	0.476670252767	0.151309182273
a10	0.339625932785	0.504106029856	0.156268029158
a39	0.309589391595	0.530596769952	0.159813812119
</S>	0.287432457797	0.540367710976	0.17219980646
