 	non	so	cosa	scrive	</S>
a46	0.38488520294	0.14425621113	0.4189345586	0.00553494121657	0.046389105342
a8	0.265693080607	0.20348272513	0.4028602268	0.00279575967724	0.125168223631
a31	0.182514968402	0.24859482931	0.3906714964	0.00330590185241	0.174912795095
a13	0.170810766867	0.329381957103	0.336348595533	0.0046817526048	0.15877690598
a31	0.197272218129	0.425187588168	0.237131564978	0.00780698357013	0.132601630977
a28	0.196014105416	0.480312552523	0.169968639726	0.0179333926666	0.135771297601
a31	0.177348037339	0.456114070841	0.138430328642	0.0492027180434	0.178904832974
a37	0.176484427846	0.371711351147	0.11749398657	0.121321033038	0.212989195718
a31	0.158676761082	0.294228105716	0.114501570546	0.199432538771	0.233161025466
a11	0.165034170494	0.221722700772	0.123801330075	0.259661541993	0.229780262787
a31	0.175047933698	0.184859137591	0.133227674085	0.302860839331	0.204004424596
a20	0.177978258833	0.16417464473	0.143605592262	0.32959991111	0.184641590199
a31	0.146769699811	0.143402156797	0.149197660221	0.332528375037	0.228102104733
</S>	0.137838534205	0.132623860328	0.143940353711	0.321724921518	0.263872337367
