 	non	ho	scritto	mai	una	lettera	al	mio	fratello	</S>
a31	0.10814063388	0.33211546448	0.054506241496	0.069284483761	0.059127603825	0.137895069657	0.1102859545	0.06961846936	0.029433382874	0.029592674766
a37	0.0517829847933	0.236315419093	0.062368014456	0.0537674018026	0.0959618115483	0.0743174717589	0.144349329411	0.120609511398	0.0889717964447	0.071556241162
a31	0.0359266345444	0.167988254338	0.0376479122987	0.0448463306718	0.13464935441	0.0335393706575	0.132970080408	0.136964276444	0.19274669069	0.0827210844173
a20	0.0383489673228	0.141056676548	0.0582956945062	0.0564785646226	0.133169034418	0.0204542808167	0.102828313296	0.132958530241	0.264812849839	0.0515970833224
a31	0.0556804053689	0.190066213618	0.0930526158154	0.0787108932682	0.107395667264	0.0151956291365	0.0675674735273	0.127085599227	0.232672495038	0.0325730024108
a13	0.058151642857	0.272940515926	0.0876163803518	0.0812128164701	0.0917523207427	0.0215757861411	0.0588795083378	0.0991823678957	0.180456011341	0.0482326372869
a31	0.0555026402863	0.249650313362	0.0938933829306	0.0864564192897	0.0910614703151	0.0273240282264	0.0768073991459	0.102338784499	0.163072050084	0.053893491709
a20	0.0757983540888	0.224731905354	0.0945110973102	0.0915091404736	0.105020694439	0.0338863269748	0.0901095658153	0.1079841005	0.132576201665	0.0438725912763
a17	0.105281943603	0.167780142951	0.0775014165701	0.0781364227645	0.129094739313	0.0452711622183	0.0832510520718	0.137774080033	0.114079738226	0.0618292984921
a20	0.104699607448	0.102108893284	0.0648015769234	0.0713177527948	0.114388849518	0.0559344175661	0.0886075065573	0.162014372011	0.147593668709	0.0885333680307
a31	0.118698630676	0.072700949908	0.0570429669078	0.0617181739116	0.101795357519	0.0624040086554	0.101062029786	0.15531870547	0.172564668236	0.0966945137436
a20	0.134214416639	0.0781844600827	0.0613878149693	0.0610904564839	0.116056812786	0.0677383088185	0.0981360649953	0.141029386957	0.153365383879	0.0887968870479
a31	0.13046955808	0.0830224249609	0.0904970401231	0.080134351428	0.107960602462	0.0737365414728	0.0956870997984	0.116940120119	0.13746643576	0.0840858213493
a3	0.13004157936	0.0817594818536	0.110762663508	0.0908551185427	0.125339333287	0.0813201239576	0.0911649736661	0.097165151173	0.107651866253	0.0839397211164
a8	0.108336318587	0.0885801454845	0.107538045903	0.0866877661809	0.163415361429	0.0863860478525	0.0807186243554	0.0832656305243	0.107079804951	0.0879922813721
</S>	0.100529736894	0.0885322587423	0.105536466552	0.0845673733905	0.167480791715	0.0856233097262	0.0764907776777	0.0852559499621	0.121628271275	0.0843550941861
