 	sono	vestita	</S>
a31	0.2887226479	0.4676626425	0.24361472074
a20	0.287930749617	0.478616187233	0.23345307568
a31	0.351193798518	0.437391994011	0.211414225013
a41	0.346103030282	0.396976175204	0.256920822891
a46	0.224401019141	0.437547364001	0.338051636764
a18	0.198980750647	0.434256450267	0.366762806788
a24	0.240195446882	0.398883086756	0.360921469196
a31	0.251275514027	0.396148932252	0.352575545732
a11	0.278648015742	0.391657617417	0.329694362577
a0	0.349331302581	0.345971956472	0.304696743526
a15	0.394777040194	0.312893986157	0.292328973175
a8	0.427823198065	0.281421841386	0.290754950392
a39	0.415805500022	0.268302102462	0.315892386797
</S>	0.395368062011	0.270010396231	0.334621536399
