 	aveva	lavorato	tutta	la	settimana	</S>
a31	0.08067647016	0.247683190042	0.25516916739	0.0192951291091	0.22875848451	0.16841756522
a20	0.0460140370333	0.263309685307	0.199606883176	0.0133656429599	0.347322347977	0.130381400945
a31	0.0698030805718	0.294721667062	0.162090408556	0.0231878816234	0.360899072972	0.0892978740537
a28	0.0855894362666	0.300835761021	0.185927240903	0.0571541551325	0.310652293504	0.0598411081912
a31	0.102365289713	0.263853812607	0.30431892664	0.0573939424602	0.241270843421	0.0307971829011
a13	0.116985745353	0.258011194602	0.367599328198	0.0455644254174	0.182315374814	0.029523928931
a18	0.0934116628643	0.277162630334	0.29328372246	0.0605775643391	0.219562398825	0.056002026417
a31	0.0959155036464	0.257615833445	0.201438710995	0.090982930113	0.276505784208	0.077541239979
a27	0.0966800650405	0.266491820482	0.137464489391	0.104404247438	0.305852403936	0.0891069814797
a31	0.123321484327	0.257655889961	0.114993503997	0.117275613346	0.288364611179	0.0983889117399
a20	0.144706384756	0.23020326112	0.112755384866	0.129252341982	0.275129058393	0.107953572447
a31	0.132305430012	0.22492081704	0.118898956222	0.140664873994	0.260778853464	0.122431059882
a39	0.144344787097	0.195762884347	0.125682682607	0.153942482665	0.249623597821	0.130643560094
a31	0.147547740899	0.188559988049	0.131271775136	0.151135350888	0.24092191594	0.140563239498
a33	0.142940126633	0.153665098616	0.136957916779	0.173731704963	0.23908703998	0.153618122499
</S>	0.147123934016	0.151597978308	0.13104209399	0.188970818481	0.22598260299	0.15528257825
