 	sono	stato	sempre	poveretti	</S>
a20	0.043380313235	0.070048256401	0.41259582734	0.3358153435	0.13816027293
a4	0.0356769372439	0.0390249952103	0.353799609047	0.444534907833	0.126963561137
a31	0.0319615515882	0.0478579492492	0.231320228016	0.592711112611	0.0961491537723
a38	0.0261854824817	0.0561462459513	0.223108961152	0.61705724127	0.0775020601934
a31	0.0257927416168	0.0416174469282	0.295493715131	0.57157739549	0.0655186787205
a7	0.0181373430755	0.025841674467	0.294712903244	0.56268820983	0.0986198394982
a31	0.0180764507466	0.0201415758999	0.215827654348	0.636740851943	0.109213447048
a21	0.0170837448297	0.0160763849855	0.193432871183	0.660867801314	0.112539186476
a20	0.0206797328899	0.020329989194	0.262602060394	0.527091877105	0.169296327861
a8	0.0404560178193	0.0307814842337	0.306973299065	0.445039488368	0.176749696127
a31	0.0598597705544	0.0519770620336	0.246768773955	0.496799853456	0.144594532149
a33	0.0956238330768	0.0722899287132	0.231460933318	0.469058659952	0.13156664145
a20	0.151205706426	0.10223513782	0.234756181106	0.361117416784	0.150685557417
a31	0.196761783913	0.1350753222	0.187814660635	0.328413827528	0.151934398339
a7	0.224075769742	0.16174947626	0.183704101478	0.291745362976	0.138725278113
a31	0.193610744247	0.200024283647	0.184678531759	0.277490832859	0.144195599038
a11	0.202310737082	0.232659515842	0.178332048186	0.246254566086	0.140443132946
a31	0.224956172361	0.249176410947	0.177285887329	0.197704890029	0.150876651249
a13	0.216220161454	0.264441264449	0.176109222376	0.182187511543	0.161041844416
a18	0.244086564485	0.260698494416	0.179999833459	0.164364685848	0.150850414139
a31	0.274963358828	0.235321091539	0.16910503782	0.166361208616	0.15424928178
</S>	0.289892324414	0.223219747469	0.16648858491	0.163458634308	0.15694067349
