 	non	ha	da	mangiare	</S>
a31	0.20766296862	0.21616126572	0.0318226169725	0.431902136387	0.11245101513
a20	0.229154637433	0.166550275967	0.0203319813418	0.515128449442	0.0688346679847
a31	0.329117299424	0.132355279316	0.0471576894446	0.453968398041	0.0374013598756
a41	0.363788707741	0.207827319425	0.0825699637029	0.325160471042	0.0206535448945
a10	0.274336304314	0.274998305262	0.121351373778	0.309911827109	0.0194021737455
a31	0.272841933971	0.317977684687	0.140657645233	0.242761796436	0.0257609229285
a15	0.259830199324	0.270943904096	0.140817836314	0.264660603545	0.0637474362828
a31	0.199211897508	0.191268632032	0.156515019351	0.303224036315	0.149780394761
a39	0.229115042369	0.207951826011	0.15257596137	0.228186411238	0.182170755854
a37	0.258863523723	0.234787811337	0.15484839779	0.175967813079	0.175532459751
</S>	0.264862232862	0.229716583669	0.158601067895	0.159183254539	0.187636867175
