 	se	vieni	alle	sette	se	no	non	vieni	più	che	non	mi	ha	</S>
a31	0.037357819495	0.03555114685	0.0086167721839	0.09794019761	0.069914734588	0.4258239937	0.0244840105494	0.02087397702	0.019365287683	0.01980956255	0.091364536051	0.0792996668784	0.066215378817	0.003382895487
a20	0.070048711727	0.02976612779	0.0079837965439	0.07887040441	0.049384430508	0.3257948847	0.0184868061627	0.0169608976333	0.0373795741677	0.0971805207567	0.0947560632983	0.0756511935721	0.0942206069623	0.003515963957
a13	0.0805691558663	0.0138684675327	0.00613679534397	0.0533882796073	0.0293193309027	0.231906625147	0.0152850755142	0.0310015086511	0.0842013016559	0.208147593919	0.0812538531928	0.0611737649814	0.0944726327561	0.00927559021767
a31	0.0446769045874	0.0112777800069	0.00542818859732	0.0454617279264	0.0225165037476	0.208013016109	0.0375194693247	0.041253986317	0.100010968285	0.233853943573	0.0871818026909	0.0660291969005	0.0827937657254	0.0139827378279
a28	0.0207756613678	0.010076196091	0.00498354306497	0.0439136164155	0.0221187862239	0.19190239439	0.0596185757082	0.0780852384857	0.0873407976283	0.184877435324	0.0845870512703	0.0822384946468	0.110718436875	0.0187637669926
a31	0.0154084358813	0.00733651208567	0.00320995581219	0.0416775345785	0.0359342712826	0.203258722337	0.0656296355694	0.0874915142286	0.0883577270094	0.163800606008	0.0712958406734	0.0775951490223	0.120005196868	0.0189988942895
a21	0.0131919315738	0.00764720198189	0.0028891114094	0.0428285501102	0.0421246122675	0.200814696446	0.0681652142565	0.0945157558095	0.10334106407	0.143309765923	0.0638513518478	0.0780037562674	0.111068540793	0.0282484529485
a31	0.0398112534793	0.00683081938063	0.00220148745233	0.0218330088141	0.0256439450018	0.186726115615	0.0672181181788	0.0991365118032	0.101821191623	0.134455888974	0.0577444170333	0.0918351148418	0.134860289969	0.0298818435295
a20	0.0495593243411	0.00806482411354	0.00232590971131	0.0140116240376	0.0199843128039	0.230484642138	0.0674140853529	0.0813716323344	0.079420874541	0.137587912838	0.0589007870684	0.0969584947266	0.129905622953	0.0240099635965
a28	0.021763426687	0.00906955422451	0.0036095794491	0.0105940956132	0.0164388029122	0.272036109846	0.0513820115843	0.0919773822448	0.0682388857137	0.106062105313	0.0697760075895	0.120047714969	0.127303686723	0.0317006619055
a27	0.0130429824157	0.0106490798215	0.0056968462097	0.00939587692347	0.0133038368776	0.330106442682	0.0365044807281	0.100215133215	0.0646706611312	0.0805443540043	0.0657364867498	0.118440988556	0.125427997308	0.0262648574485
