 	ha	che	sono	usciti	</S>
a31	0.6994642839	0.03030513887	0.0075584155738	0.0333168939253	0.229355241139
a13	0.65834357222	0.133137488177	0.0062350874902	0.0474843013235	0.154799539062
a8	0.452802620993	0.262050390546	0.0120854357678	0.113533518382	0.159528042601
a24	0.348370867871	0.246569512695	0.0541064190893	0.136880412236	0.214072804058
a31	0.362039499764	0.151694698678	0.0906247818764	0.101190586187	0.294450445086
a0	0.308019432855	0.100964239426	0.116974450672	0.140177710129	0.333864165962
a31	0.227594956952	0.115278416133	0.144361383491	0.173159910576	0.339605307587
a8	0.173408826117	0.135045969502	0.174137714897	0.195161889992	0.322245565196
a23	0.146388326172	0.146166575634	0.218980520299	0.244846234864	0.243618327265
a8	0.152853040391	0.151807352211	0.261142196766	0.249222602088	0.184974798222
a23	0.163757095597	0.152768019404	0.297227959589	0.239923489896	0.146323414474
</S>	0.177160371998	0.156807789702	0.309806746794	0.230311181448	0.125913888437
