 	e	che	cucino	</S>
a31	0.49753817836	0.13670773791	0.17462249374	0.191131578695
a24	0.37776889764	0.168402100015	0.264195424524	0.189633583186
a31	0.38595693078	0.11671435121	0.341328575279	0.156000149059
a11	0.326364511127	0.126419873137	0.407330454459	0.139885154208
a46	0.283526087709	0.168607132846	0.418195410514	0.129671356119
a41	0.399913075036	0.159455701082	0.329554930487	0.111076291313
a20	0.495418549145	0.141548217227	0.245709795916	0.117323444104
a36	0.493164860048	0.140193827476	0.226429012659	0.140212310168
a31	0.439488434683	0.172590092825	0.220978260486	0.166943220056
a46	0.460555050228	0.190693751208	0.192043508829	0.156707702019
</S>	0.474798125114	0.187048824004	0.189423678415	0.148729398009
