 	lui	sapeva	che	oggi	stava	per	fare	freddo	o	freddo	e	non	poteva	fare	il	bagno	</S>
a39	0.364230228653	0.02096287718	0.010693685048	0.040304375783	0.0029735910019	0.014246161149	0.026141045066	0.04881572404	0.0714356579465	0.069249081935	0.037283391349	0.032403498508	0.048556333975	0.02945997998	0.1217436017	0.034319363138	0.02718142746
a31	0.161821598276	0.0105464502367	0.0102850443253	0.0280537657517	0.00217725633017	0.0162302603857	0.0425558966887	0.0854129867467	0.0578377287835	0.0798594495783	0.0681800909163	0.0690665720827	0.094229026115	0.05100049276	0.172023482187	0.0263845307673	0.0243353812067
a20	0.0752222650233	0.00675471049103	0.0180919267671	0.0226382112159	0.00723678603939	0.0205838581086	0.0397318317362	0.0855439110489	0.0574550377625	0.0689854726594	0.133033665239	0.0660914009422	0.138910969625	0.103200956053	0.128811033102	0.0128254379354	0.0148825128796
a31	0.0458794208364	0.0073442752688	0.0233968230462	0.0134044306086	0.00928265396286	0.0245986031162	0.0461658033974	0.089978491523	0.0344704761408	0.0530059030865	0.236015963853	0.0487488900074	0.143547794962	0.129897411764	0.070268237444	0.0129279105643	0.0110669119192
a21	0.0182550431968	0.00544810241859	0.0157773174475	0.0128620058609	0.0181666400412	0.0271118390254	0.0438652050258	0.087367261881	0.0316368612963	0.0522177852288	0.314206667991	0.0528111689625	0.130421928192	0.115317813841	0.0415354664913	0.0138140653509	0.0191848499117
a31	0.0195869305116	0.026138838043	0.0272867287068	0.015077042663	0.0237735617754	0.0260333528085	0.0283614444233	0.050042878427	0.0453467586748	0.0468366488096	0.293689122064	0.0729811873208	0.123524441754	0.1420640339	0.0288220546104	0.00835055551757	0.0220844339084
a13	0.0193409778001	0.0329391291338	0.0333218664233	0.0219396075743	0.035752575667	0.0283377949042	0.0226239344411	0.046309952729	0.0390284646973	0.0576080744699	0.250635340088	0.0818248066803	0.136693061607	0.151635768611	0.0281880494795	0.00344084371879	0.0103797654427
a8	0.0066923339643	0.0114231805271	0.0206407797582	0.0314010727048	0.077599019601	0.0362393760427	0.0116751176537	0.051473799123	0.0180613635982	0.12410303979	0.209040064029	0.0540475753601	0.155883607369	0.138314153529	0.0416942459665	0.00177830620606	0.00993298154223
a24	0.00294314801143	0.00450201908763	0.0115511418567	0.0311726863083	0.104309219358	0.0468728205876	0.0103210305712	0.0498995759343	0.0107174511327	0.245151677163	0.140328473876	0.0421361539974	0.120791778619	0.106410163684	0.0509970322195	0.00241641603682	0.0194792249901
a8	0.00238012053048	0.00231278144481	0.00487716560423	0.0274535235001	0.0805659467153	0.0535660996919	0.0196100834704	0.0584729891448	0.0109993295476	0.361336035921	0.102335030359	0.0421794369671	0.0829046783797	0.0779113663347	0.0449673037132	0.00295291353161	0.025175191936
