 	se	aveva	vestito	la	figlia	l	avessi	portato	alla	chiesa	</S>
a23	0.279735326292	0.0111098168742	0.0347059750526	0.0382515051074	0.033373803082	0.007236486068	0.0159447409	0.045595460586	0.075092789126	0.3551485639	0.103805525704
a31	0.203765329045	0.015706738913	0.0287200051127	0.0447397077921	0.0423755518467	0.0101901702248	0.02276726246	0.02430572971	0.073337464034	0.483637123013	0.0504549138493
a20	0.176829558492	0.0190347808473	0.0237316088466	0.0462171735387	0.0500684002109	0.0159618593037	0.0481366262533	0.0257816499403	0.0708343770064	0.498308046218	0.0250959214858
a13	0.168586545727	0.0122857765825	0.0244262792775	0.0336640784759	0.036269085641	0.0185098306719	0.0822594233578	0.0492852274317	0.0563163643132	0.479522431573	0.0388749477619
a37	0.144034256509	0.0061075641479	0.0131627101403	0.0318691038006	0.046986738147	0.0207876596006	0.0974418101193	0.0643739036099	0.0574415139191	0.442848866058	0.0749458594273
a31	0.112398020794	0.0041376708759	0.0346542126674	0.0307460753291	0.0966298215023	0.0438709619915	0.0843832386531	0.0559684550917	0.0519739779624	0.419170085373	0.0660674524338
a43	0.0713727846887	0.00385998489743	0.0413804331991	0.0263972210868	0.107609861221	0.0492803816145	0.055634080511	0.0395995909403	0.0562786898968	0.506363539144	0.0422234166226
a31	0.0523861653202	0.00667459765808	0.0300822138084	0.0369168451239	0.122319411474	0.0302594295222	0.0369583609837	0.0222035689414	0.0813114536656	0.546580886455	0.0343070844989
a24	0.0807819351307	0.0110296141615	0.0294335992192	0.0462169022511	0.12496300448	0.0249369903474	0.0279637970879	0.0187047104698	0.0967114553219	0.517444751558	0.0218132584176
a7	0.0914667275769	0.0113546142315	0.0206562529941	0.040440482607	0.0716204632153	0.0224895352291	0.0266946596893	0.0226986289833	0.0925560011073	0.568708605853	0.0313140242059
a31	0.0816604817523	0.0147015926821	0.023709063084	0.0492052688123	0.0869939376518	0.0344181673164	0.0291670255964	0.0228594516411	0.0752083335691	0.541975233818	0.0401014320553
a13	0.100436206611	0.0206461337096	0.0280278683701	0.0556868602574	0.0944672226306	0.0384859195721	0.0340084225321	0.023579473547	0.0851307144564	0.482706319139	0.0368248628718
a28	0.13034839567	0.0234810228565	0.0289767080528	0.0438963197591	0.0620572890435	0.0351646916574	0.0549987153774	0.034895125849	0.114044685485	0.42711314638	0.0450239016239
a20	0.12304371029	0.0254746274788	0.0317055731723	0.0368017638797	0.0555656512145	0.0611592192858	0.0843341071258	0.0550706080163	0.123308313362	0.353266556127	0.050269875408
a31	0.10986720303	0.0291110095605	0.0336020982941	0.0435600327526	0.0574042346048	0.122237363829	0.0969671915086	0.0594021293388	0.117491260987	0.290927938376	0.039429535356
a37	0.11923774621	0.0394965905211	0.0379329128827	0.0488823765075	0.0582120292683	0.13370991401	0.106607317303	0.0697201369796	0.122841698662	0.222783151792	0.0405761022053
a1	0.105802855937	0.0478743101737	0.0455039201869	0.0475983334798	0.0595386260228	0.115677887337	0.128772231434	0.0942418499932	0.129433737487	0.179058011931	0.0464982054018
a28	0.0883756050457	0.0500485921246	0.046665264349	0.0468449996799	0.0590582670743	0.115033655112	0.142682379211	0.102107885798	0.129001405496	0.164256634244	0.0559252847339
a1	0.0779456602152	0.0462972274815	0.039583169693	0.04014109214	0.0552245124914	0.133419500637	0.127999433604	0.090874907266	0.110321596899	0.224453845481	0.0537390332446
a28	0.0763485838717	0.0397787322672	0.0332162909143	0.03644345946	0.0508227424971	0.133949159546	0.108550358668	0.0926937855553	0.086795779233	0.28683433496	0.0545667701482
a31	0.0977010558772	0.0379608411444	0.0322471662848	0.0377608252667	0.050301505479	0.0926349961153	0.112161119823	0.0909241128518	0.0890394921443	0.292100218653	0.0671686753827
a20	0.119920596412	0.0547676670368	0.0352841346883	0.0394058211289	0.058808776273	0.0940522465718	0.109434833941	0.0752990778173	0.0952032319148	0.247208992151	0.0706146209276
a31	0.132271009437	0.0683930182789	0.0426348434694	0.045191721043	0.063867821291	0.0917728354839	0.086850438847	0.0773160602058	0.0961641462383	0.21782898565	0.0777091244425
a20	0.131478395979	0.075163522293	0.0558679980231	0.054785361321	0.0618126496303	0.079358847788	0.0852698762823	0.0793831670686	0.100456329813	0.196571734017	0.0798521248142
a31	0.11139679924	0.0854589595643	0.065417853341	0.0645800972403	0.0621524425434	0.075647233996	0.0889155966274	0.0805257041562	0.104565207138	0.169130273472	0.0922098309381
a8	0.10809290846	0.0961375505214	0.0783707779803	0.0762961034801	0.0656879977145	0.070322176132	0.0805213488758	0.0796621151854	0.0991769047793	0.151063091491	0.094669024446
</S>	0.11877783603	0.107118179261	0.0899986069901	0.08349807324	0.0712768301573	0.073370384166	0.0800551609379	0.0774618455927	0.0945733809896	0.121485856245	0.082383848423
