 	dovevo	comprare	il	pane	ogni	giorno	</S>
a30	0.62897235347	0.0196355980105	0.04792390604	0.163098052553	0.0277993975355	0.023427738952	0.089142986415
a41	0.583776978803	0.0231483215238	0.0848485522467	0.149224910558	0.0244298636588	0.0152555408467	0.119315855318
a31	0.602725549639	0.0192034323546	0.0935309566156	0.116056628906	0.0647960901603	0.0251045448205	0.0785828205327
a24	0.567366140171	0.0142723063194	0.0788211400852	0.0815594361353	0.151248181922	0.0303078978184	0.0764249087309
a37	0.42320843959	0.0200110289553	0.0913484973084	0.0650774812318	0.160510749701	0.0330857402728	0.206758058644
a31	0.39377142601	0.0257933534372	0.0915858591295	0.0674846265159	0.114832601392	0.0495384451576	0.256993692939
a17	0.46256402717	0.0220006392009	0.0784749129365	0.0705818001573	0.106581396642	0.0530357055859	0.206761511764
a5	0.499676880423	0.0248471540576	0.0744519908455	0.0527190125258	0.101706146234	0.0562928459953	0.190305943488
a17	0.527878982208	0.0312783049392	0.0770656806818	0.0482198497619	0.0939330491647	0.0758841651984	0.145739943269
a20	0.585442056003	0.0280457247531	0.0654576478273	0.0447918545406	0.0925857242549	0.0834942636395	0.100182706203
a5	0.624617887934	0.0238732819177	0.0582065875424	0.0569739886202	0.0869898882983	0.0707973168665	0.0785410463143
a20	0.612749778778	0.0281623934192	0.0630126998475	0.0735658854067	0.0840476047994	0.0659561336088	0.0725055238381
a37	0.621517439126	0.0342181275864	0.0578353330158	0.0698780690689	0.0796793005331	0.0671836219363	0.069688105586
a39	0.643618403442	0.0376821829955	0.0509338881386	0.063347874423	0.0712185619777	0.0647174204721	0.068481657102
a35	0.632673656147	0.0455046259318	0.0507050395129	0.0651806282077	0.0684808560726	0.066885298144	0.0705698898607
a7	0.597577820382	0.0479991468439	0.0495791570376	0.0708507909359	0.0710377334375	0.0774758759013	0.0854794522469
a24	0.591547397461	0.0429220616146	0.0479706602125	0.0783657495786	0.0670935353458	0.0731241592738	0.098976403149
a37	0.580390485154	0.0423585277382	0.0509940356042	0.0869924027929	0.0680949291819	0.0684944777446	0.102675112916
a17	0.519932133051	0.0554199698461	0.0617540967347	0.096214646931	0.0770418370606	0.0805402144349	0.109097085372
a31	0.450347119684	0.0705755981487	0.0744561113116	0.12173856951	0.0818167012869	0.0930854796783	0.107980408244
a20	0.425802503228	0.0766912253829	0.0790769838372	0.117485796103	0.0818888581623	0.107733632653	0.111320998801
</S>	0.436849696614	0.0799443100915	0.0799295100186	0.0899393354515	0.0795220330811	0.115313616327	0.118501508601
