 	non	deve	magniare	la	sera	</S>
a20	0.4505638342	0.067422605728	0.0202748651188	0.154164806005	0.244199278889	0.0633746489897
a31	0.425397750061	0.130195784307	0.0138327987655	0.130427136813	0.261537070302	0.038609485355
a18	0.335390331162	0.183409661886	0.00584942163057	0.0494548341128	0.389191794176	0.036703964017
a37	0.328085649267	0.169721717523	0.00339520257739	0.0201161709109	0.436356383152	0.0423248602423
a18	0.328520269622	0.17457323434	0.027439697097	0.0622016768303	0.348259118165	0.0590059674841
a31	0.266559408141	0.165952284805	0.0850065290537	0.124327736677	0.237716116122	0.120437884361
a13	0.17763311358	0.135629137396	0.145450509122	0.184511131559	0.176385282107	0.180390797854
a31	0.148249793793	0.108249338709	0.161155297123	0.200078495586	0.158500494636	0.223766567018
a17	0.147333212398	0.101984870736	0.168146581548	0.172665123595	0.171187516612	0.238682694339
</S>	0.121064134899	0.101740037868	0.186638521774	0.178272740797	0.178774709506	0.233509858169
