 	ha	potuto	entrare	dalla	finestra	</S>
a46	0.45526859468	0.186163726387	0.080398086	0.16385127492	0.104517558975	0.0098007472
a31	0.337614461796	0.125385217202	0.241376479667	0.21971780484	0.0657512642657	0.01015476176
a8	0.271305185672	0.0971571556738	0.324769547222	0.231323264813	0.0645483956806	0.0108964598067
a31	0.332386356291	0.106259245921	0.263342344927	0.200344015151	0.0827314084779	0.0149366456222
a15	0.357716714997	0.0942002205699	0.262164350109	0.128051448877	0.0723493209723	0.0855179482941
a13	0.359921380106	0.112584536966	0.225667275783	0.083878955599	0.0440474126574	0.173900430745
a24	0.395118332829	0.115110076755	0.158848402061	0.100398339026	0.0636673139991	0.166857533748
a31	0.461043978399	0.0865102312717	0.121978740087	0.156502153649	0.0624962000777	0.111468719343
a18	0.499293739782	0.0690922406439	0.097450534109	0.203562692456	0.0504164394239	0.080184391441
a31	0.409143598629	0.0711382883346	0.099190319183	0.240072180619	0.068096396408	0.112359236647
a20	0.361979205724	0.0772286497649	0.0984767907277	0.260387041273	0.0737894354693	0.128138884749
a11	0.358943510508	0.082069071655	0.102374281109	0.215728883491	0.118709027023	0.122175226183
a8	0.282085078369	0.100148119285	0.13964535437	0.185064565564	0.160429621008	0.132627261128
a31	0.21555879537	0.0979486852283	0.17346637879	0.182596295188	0.155541143136	0.174888708643
a8	0.21424470737	0.100343215876	0.17219764493	0.185115791063	0.146857270512	0.181241371814
a31	0.21815915819	0.117559114092	0.165818008977	0.190528570354	0.150114740304	0.157820411005
</S>	0.182677963695	0.128912364046	0.180644608489	0.176429523177	0.158893684152	0.172441868502
