 	la	donna	pulisce	la	casa	l	uomo	no	</S>
a23	0.0250154865561	0.0362799129524	0.0681337056521	0.032633921086	0.0981588071311	0.073726995552	0.0274735175062	0.5655054837	0.073072182955
a31	0.0234034031243	0.0296964460769	0.056252129699	0.061356068359	0.0631584918903	0.0729040799756	0.0303642604189	0.575279121393	0.087586001855
a24	0.00796093332797	0.0326868585183	0.0464859121989	0.099618296862	0.0324571664813	0.0502125919693	0.0925160155837	0.550621169158	0.087441054385
a31	0.00306847488655	0.0401022701058	0.0422917942118	0.104245753295	0.0227979262748	0.0443374210343	0.111641811684	0.569155830213	0.062358703805
a35	0.00141762812961	0.0728643951892	0.0486261592543	0.109895139078	0.0146648684826	0.0248291872971	0.0454540655677	0.629943452231	0.0523050903743
a28	0.000820140480337	0.0808061005527	0.0637367568968	0.105282869606	0.011434143972	0.0188091928326	0.024064625757	0.67053679861	0.0245093683533
a37	0.00149749889345	0.0684867580916	0.0757576418896	0.0950930745225	0.0150732022605	0.0172226862082	0.017752252669	0.668274378603	0.040842500309
a39	0.00226620031382	0.111294227673	0.0729865185565	0.0929433155642	0.0225589945042	0.0201941482661	0.0261959652363	0.550198715401	0.10136190622
a20	0.00223113046727	0.153445138754	0.0705738038122	0.0936079709221	0.0280011282107	0.024520810364	0.0425589092988	0.441954228134	0.143106875568
a31	0.00547629188576	0.122748705715	0.0801270520041	0.0811658973647	0.0366208765716	0.0335131040187	0.0554903056463	0.445572891511	0.139284876332
a44	0.0121519570819	0.115479086005	0.077166726348	0.0677114546869	0.0401565597052	0.0427754158262	0.0496079697888	0.446390987304	0.148559838131
a31	0.01924346495	0.117215306008	0.058558923796	0.062742675211	0.0560766606697	0.0448953472687	0.0449399273296	0.449562999301	0.146764675817
a34	0.0588388368647	0.119610166469	0.048852807572	0.0585043348457	0.0921299627712	0.0560225337896	0.0434746357432	0.422251826034	0.100314876492
a31	0.101474076155	0.15795254889	0.0428795027907	0.0507348701686	0.10413564499	0.0657557757565	0.0408967696477	0.362471129945	0.073699662764
a18	0.0978390703183	0.219186652897	0.0527744849969	0.0382744367229	0.0861424533033	0.0561449543855	0.0417813464159	0.296294111295	0.111562484568
a31	0.0993611233061	0.255119154099	0.055394147999	0.037056067841	0.0720801484344	0.0524712577952	0.0468639489386	0.248644893412	0.133009255903
a18	0.094454309302	0.2804590429	0.0537050936663	0.0389364986137	0.0685887992115	0.0639584215317	0.0632340974462	0.230694371271	0.105969358301
a7	0.0753754137673	0.323222593033	0.0601256430221	0.0472708587379	0.0728033051372	0.0849520490439	0.0868856687487	0.162009816224	0.0873546562337
a17	0.0897891680558	0.296914992611	0.055209070474	0.0599493829126	0.0808559285791	0.101374198281	0.106074793983	0.134802091741	0.0750303792112
a31	0.113106111352	0.218615267804	0.0518843344247	0.0691458367042	0.0864962952597	0.10131307456	0.133535623061	0.146341395247	0.0795620470704
a24	0.118713215717	0.220316362335	0.0550611466749	0.0689559161014	0.0845964071932	0.0967570644	0.13654226582	0.139676184949	0.0793814161568
a31	0.114670164032	0.239727826845	0.065264366225	0.0714270055005	0.0900537959711	0.09933651528	0.119770856073	0.109703658183	0.0900458058523
a43	0.102410598871	0.247323542815	0.0758570413417	0.0757248729002	0.0927016655904	0.0995509440267	0.111431518291	0.100179352061	0.0948204702841
a39	0.10253189129	0.272642113072	0.0830496932472	0.0737221567001	0.0869088475968	0.101443401076	0.10524572503	0.0934298580203	0.0810263347614
a31	0.103120570697	0.201907396424	0.0948943830824	0.0813568319	0.0929011377323	0.108671822759	0.120657114743	0.104009361073	0.0924814005871
</S>	0.0943336747485	0.162658541012	0.104671874141	0.08676749445	0.0956146284661	0.11053153438	0.130604956971	0.111768944137	0.103048363294
