 	vuole	bianco	</S>
a20	0.4506885828	0.42634824513	0.12296317398
a31	0.4192210882	0.482697777423	0.098081130216
a11	0.3377206568	0.581606525741	0.0806728087962
a31	0.337240737067	0.591617144914	0.0711420984591
a39	0.320592303156	0.611122076305	0.0682855936392
a20	0.240015417319	0.713045150768	0.0469394182484
a31	0.209012995773	0.743611906256	0.0473750879988
a39	0.205220536791	0.711707184085	0.0830722676996
a46	0.204272873597	0.695678628695	0.100048498177
a24	0.222333661532	0.670989233565	0.106677094386
a46	0.252762120511	0.621851176522	0.125386698529
</S>	0.266286443255	0.598828616261	0.134884958965
