 	sul	muro	vuole	uno	specchio	</S>
a33	0.5381586252	0.16113271358	0.077916045423	0.054405567827	0.142745698121	0.0256413683166
a31	0.443259377067	0.26333243178	0.098953649341	0.0539268984813	0.118285875771	0.0222417631268
a23	0.408892082889	0.271170851727	0.139949988914	0.0460729258407	0.113013844779	0.0209002830208
a31	0.557001523763	0.136883305589	0.136561969571	0.0762032289216	0.0826070069014	0.0107429468136
a28	0.616285194921	0.0969204137763	0.113519573724	0.0766884257432	0.0581844169178	0.0384019591092
a31	0.63890395652	0.088870399749	0.104068123341	0.0795966381327	0.0366645997782	0.0518962774012
a39	0.664691411853	0.0919488625399	0.0770952602537	0.0724671802659	0.0217270163952	0.0720702657498
a31	0.683161977084	0.0867871226733	0.0598561893246	0.041933578566	0.0157699825967	0.112491125854
a41	0.662616388695	0.0654682605978	0.0561759889682	0.0414451052493	0.0437283581772	0.130565864542
a37	0.620229703765	0.0630196779126	0.0521399891827	0.0479170513164	0.0805392004591	0.136154358981
a41	0.579474238588	0.0750212858375	0.0544211227942	0.0547017543055	0.11991528562	0.11646630926
a31	0.534799380196	0.0837622094125	0.0718958301314	0.0633648771952	0.1338183823	0.112359306553
a37	0.524261361399	0.0913748552708	0.0792776563771	0.0676710989051	0.134859356567	0.102555655318
a18	0.523364187133	0.0909951928236	0.0709031369257	0.073017930315	0.155519139096	0.0862004204127
a31	0.504129446378	0.0898116630079	0.0720547841086	0.0902097393717	0.148472568432	0.0953218244442
</S>	0.482869044189	0.0951278358039	0.0758086124543	0.103481061386	0.136651308216	0.106062167222
