 	se	aveva	visto	le	nuvole	le	nuvole	avrebbe	capito	che	stava	per	piovere	</S>
a46	0.0470183971514	0.00681599567335	0.057370459004	0.0214574837233	0.0153211007821	0.015471759058	0.0295635115212	0.3789637595	0.027264148126	0.012402071172	0.0064536970678	0.0124556448061	0.346707757481	0.02273423876
a31	0.0388106972843	0.0066910117692	0.0414770813285	0.0217711967616	0.0187428591059	0.0157896632827	0.0309117011096	0.208292714867	0.0225616109512	0.0354900355709	0.0091972191077	0.0140733899836	0.5085671577	0.02762368572
a27	0.0158167754507	0.00362585128874	0.022706099658	0.0136066597171	0.0271162824786	0.0160285562811	0.0183900349939	0.115349059346	0.0172763182076	0.0434525554995	0.0389350395221	0.00896759204205	0.642118955887	0.01661023058
a17	0.012010776971	0.00381606310075	0.020522794092	0.0116611225159	0.0283450595745	0.0176742970312	0.0166457911269	0.0881171963858	0.0128206750145	0.0348446165568	0.0639202950476	0.0102589800267	0.669268528322	0.0100938133333
a31	0.0101271284609	0.00558346098709	0.03559207612	0.0179684483973	0.0313468501908	0.0153875520791	0.0328221540423	0.0671101429953	0.0257774441248	0.0618485218989	0.0589447925394	0.0349753318742	0.594181872641	0.00833420990177
a24	0.00748123169443	0.00574519762146	0.035923191956	0.0194503144978	0.0319896714076	0.0146600461984	0.0367265454674	0.0709031922184	0.0278336818016	0.0677385905396	0.0608976888633	0.0467140180947	0.561703919814	0.0122326950146
a29	0.00699450443641	0.00371121131742	0.0225524034453	0.0102054782979	0.0170141724625	0.0158771510381	0.0280226837825	0.115984860293	0.0229251160005	0.0414121852599	0.0636849659918	0.0368476766182	0.587875490605	0.0268921008669
a38	0.0357015215441	0.00202189922381	0.0217156950151	0.00688204339263	0.0115545155142	0.016645343566	0.0320812897542	0.140452365231	0.0371539665335	0.0373630274466	0.0634530452393	0.0323759333461	0.522572297202	0.0400270586945
a31	0.055191037043	0.0063512282038	0.0531264017117	0.0145304747375	0.0361377718381	0.0222237011887	0.0331757038981	0.136533138077	0.0415836482445	0.0342727439422	0.0479991664138	0.0243208447914	0.455789502067	0.0387646162024
a37	0.0382988280559	0.00841437172713	0.0602957917106	0.0174430562992	0.0468360450394	0.0398701431296	0.065697379546	0.195744223226	0.0550033254815	0.0258424715341	0.0243596721153	0.0199508664131	0.374273148356	0.0279706300735
a28	0.030033037988	0.00454947217038	0.0275387795902	0.0100385908931	0.0240488828731	0.0487285749232	0.109984274649	0.326934392809	0.0878294163472	0.0241141142714	0.0207231531051	0.0191962293644	0.248128671319	0.0181523780132
a39	0.0255888380627	0.00312776716679	0.0165308804434	0.00712754787103	0.0133023726244	0.0459269795211	0.11670657075	0.42936607467	0.119665042369	0.0209489992305	0.0192078475044	0.0169795096815	0.153816761406	0.0117047872644
