 	non	ha	che	li	aspettiamo	</S>
e	0.7104956	0.005114092	0.0010263291	0.0016282679	0.0014362624	0.28029943
n	0.0016001946	0.048880175	0.41786292	0.5293844	0.00012537703	0.0021469027
è	0.0002385587	0.13789132	0.1189078	0.1470615	0.24864766	0.3472532
n	0.0044129295	0.3716903	0.4036417	0.19221954	0.0013184636	0.026716998
a	1.2569446e-06	0.0078764	0.17958173	0.8117311	4.8625403e-05	0.0007608219
t	0.0008667095	0.12124418	0.61298764	0.26458558	1.0267895e-05	0.0003055603
u	0.009872056	0.06983	0.06897421	0.059434433	0.18905956	0.6028297
s	0.08744975	0.45659366	0.34023786	0.10614875	0.0072230515	0.0023468395
m	0.00061350584	0.010764519	0.004146903	0.005518239	0.42997837	0.54897845
ì	0.18649636	0.22655118	0.25180072	0.04949361	0.20101175	0.084646456
n	0.028426467	0.06906271	0.14536884	0.23596784	0.48893815	0.032235928
o	0.75246656	0.013902632	0.024465026	0.069165714	0.0011116732	0.13888827
m	0.014110409	0.08832591	0.033103712	0.031957965	0.72429174	0.10821019
e	0.20810735	0.036988568	0.07383054	0.08812218	0.010646864	0.5823045
</S>	0.007262422	0.020233383	0.012770872	0.115438834	0.19691265	0.64738184
