 	l	ho	sentito	che	veniva	</S>
o	0.9221309	0.0036009403	0.00020102368	0.0019917113	0.030621072	0.04145432
n	3.8716436e-05	0.0010270504	0.9952963	0.003618125	1.7681257e-05	2.1678875e-06
ì	1.4713427e-05	0.047669373	0.07705202	0.86695105	2.2446403e-07	0.008312623
k	0.0002825285	0.038932364	0.9461202	0.014343891	0.000255459	6.553682e-05
u	0.015312404	0.009120743	0.43681148	0.51597756	0.022706497	7.1323484e-05
s	0.13363756	0.75527376	0.059793983	0.051253024	5.1340094e-06	3.6487138e-05
a	0.00010053347	0.04109614	0.11527082	0.8244798	0.00038195975	0.018670756
k	0.0040698056	0.10168491	0.50758255	0.3864266	0.00011380683	0.00012228965
a	0.004314974	0.0009166976	0.023902448	0.081871375	0.88117826	0.007816226
è	0.029760273	0.056867912	0.04903585	0.38232106	0.44736028	0.0346547
r	0.00075646245	0.00041891102	0.00041433887	0.0019531036	0.92964035	0.066816725
k	0.0009305695	0.0010510677	0.000604421	0.0034750015	0.9910562	0.0028826722
a	0.101133615	0.012134934	0.06583432	0.25129846	0.5492005	0.020398218
t	0.10881245	0.12060032	0.056834582	0.27844793	0.30549338	0.12981129
o	0.008226841	0.0068763793	0.015791805	0.038039364	0.89308584	0.037979826
</S>	0.004488828	0.038558986	0.026773972	0.25407562	0.41339815	0.26270443
