 	da	da	un	famoso	poeta	</S>
p	0.63074005	0.01395915	0.0052956464	0.24920596	0.049932916	0.050866306
u	0.5082239	0.30742046	0.14005443	0.038798653	0.005471422	3.1173255e-05
s	0.18711568	0.5696245	0.14194512	0.10014077	0.0005874196	0.00058652257
s	0.012657892	0.11739206	0.15017244	0.5348737	0.035391923	0.14951189
è	0.023769438	0.31788933	0.48300424	0.17056982	0.00030385816	0.004463241
n	0.033843897	0.40421563	0.515938	0.045971498	1.5934873e-05	1.5055601e-05
a	0.10300539	0.23473686	0.1368644	0.073892884	0.44375244	0.0077480893
f	0.07559178	0.5554804	0.2370399	0.13106789	0.0005505894	0.0002694736
a	0.061732475	0.0071764984	0.006895637	0.021601025	0.900972	0.001622301
m	0.040165864	0.08663284	0.12857527	0.7347695	0.0025288204	0.0073276362
ò	0.016342724	0.0049253614	0.0017100971	0.016345842	0.9534805	0.0071955114
s	0.0024843074	0.0024241009	0.5755228	0.28615293	0.10193386	0.03148209
o	0.18542147	0.03596428	0.034772128	0.15799175	0.53718525	0.04866512
p	0.01616928	0.056182597	0.109077044	0.77222645	0.008019636	0.038325008
o	0.01297567	0.0027513304	0.00040837604	0.009577935	0.9651487	0.009137965
è	0.014351809	0.017415652	0.069523565	0.6931516	0.049370307	0.15618698
t	4.368499e-05	8.449284e-05	0.17687243	0.013099014	0.66376907	0.1461313
a	0.00807922	0.009772663	0.0064879884	0.03241782	0.7383241	0.20491828
</S>	0.0097637605	0.016125062	0.026004955	0.45297688	0.23571406	0.25941533
