 	era	molto	stanco	</S>
ì	0.6013766	0.13790298	0.039661717	0.22105871
o	0.93297815	0.050980426	0.01585113	0.00019035202
n	0.90314555	0.09262217	0.0041857692	4.658585e-05
e	0.3081823	0.1729693	0.08082053	0.4380279
p	0.99558216	0.0043796487	2.8826686e-05	9.337375e-06
o	0.08640362	0.7811711	0.11706447	0.015360771
d	0.02665302	0.95931476	0.0024372556	0.011594941
d	0.013370615	0.5731283	0.38160613	0.031894922
h	0.005945149	0.70276445	0.27068388	0.020606598
ì	0.33899269	0.48906112	0.037231736	0.13471453
s	0.0005774985	0.0087322425	0.20254794	0.7881423
t	0.01714903	0.24214102	0.6796348	0.06107512
r	0.16499548	0.4667706	0.36681366	0.001420364
à	0.17513748	0.229063	0.5937582	0.0020412658
k	0.0010442161	0.008826145	0.090423346	0.8997063
k	0.053156663	0.15113665	0.7665945	0.029112149
o	0.1444902	0.4339138	0.42028922	0.0013067265
</S>	0.01694272	0.029435366	0.031279862	0.92234206
