 	dovevo	comprare	il	pane	ogni	giorno	</S>
ì	0.6265363	0.0017536863	0.008524753	0.28362173	0.04050752	0.0037174094	0.035338536
c	9.772832e-05	0.12594905	0.49240437	0.37928098	0.002199465	9.554892e-06	5.8789712e-05
h	0.008809498	0.3267557	0.6545234	0.009230338	0.0006702951	8.748718e-06	2.0767864e-06
a	0.032099776	0.16771005	0.6636244	0.13111368	0.004847123	0.00013431071	0.00047066182
n	0.016109275	0.7801479	0.16824915	0.03279265	0.0013601375	6.7893176e-05	0.0012729978
a	2.1644277e-05	0.45584857	0.4706124	0.07188654	2.2534214e-05	6.3671723e-07	0.0016075958
v	0.0001842778	0.68013626	0.30937475	0.010298256	2.1344392e-06	1.0186009e-08	4.2729903e-06
o	0.0033361702	0.16638058	0.7987521	0.027785948	0.001974525	0.0006685624	0.0011021622
r	0.2253934	0.23850055	0.19865675	0.15709761	0.07726994	0.0849945	0.018087203
à	0.002518444	0.008612636	0.027278492	0.0805954	0.022852127	0.064512946	0.79362994
s	0.0021330079	0.00035024018	0.0007159004	0.011961268	0.90234464	0.06891606	0.013578966
o	0.130264	0.07951087	0.12538421	0.6506632	0.0033199773	0.002903243	0.007954522
t	0.66304284	0.16583425	0.050768506	0.09519151	0.010163127	0.0021687842	0.012830929
o	0.027790269	0.052747782	0.12277673	0.3603404	0.0653243	0.06995967	0.30106086
t	0.55101043	0.2491805	0.11134703	0.08653408	0.0005627503	9.4990835e-05	0.0012702678
s	0.0049976073	0.008046472	0.019790307	0.044772103	0.06372326	0.2325223	0.6261479
o	0.27312398	0.06308249	0.1634038	0.40889907	0.0024715485	0.0070544435	0.08196471
m	0.08681152	0.0044534137	0.00415107	0.055575725	0.070910245	0.16801752	0.6100805
ì	0.049188092	0.41008112	0.47233889	0.020662008	0.028760139	0.0071781394	0.011791625
k	0.0025094652	0.0002738584	0.0019663037	0.08171743	0.07226509	0.7542323	0.08703559
à	0.010766784	0.001819218	0.0063172295	0.0313581	0.057503726	0.58493763	0.3072973
i	0.00016148393	5.3581185e-05	0.00015298529	0.001911854	0.019501003	0.924265	0.053954124
m	0.00013389855	0.00092106976	0.001633756	0.0029954135	0.07974948	0.88955015	0.025016354
è	0.09867742	0.2908868	0.41685814	0.09365307	0.07409503	0.018100455	0.007729119
r	2.5220035e-05	1.2768088e-05	4.4449214e-05	0.0012392079	0.014072598	0.95512503	0.02948067
i	0.18031126	0.0042181495	0.037412915	0.61657244	0.13142473	0.026198678	0.0038618424
</S>	0.00030017848	9.0953676e-05	0.00014660662	0.000843387	0.01652386	0.31976852	0.6623265
