 	la	mia	mia	mamma	mio	padre	mia	mamma	e	mio	padre	eh	non	sono	stati	mai	in	Grecia	</S>
e	0.7337857	0.012795636	0.009944807	0.0076254243	0.009933385	0.010712112	0.0056192204	0.0136862695	0.04344177	0.039972123	0.006554437	0.00899423	0.042367652	0.034836307	0.016269574	0.0007645744	6.427865e-05	0.00019310048	0.002439411
d	0.00092785264	0.01589044	0.008377839	0.959802	0.0070050447	0.00027046274	0.005968379	9.285568e-05	7.642081e-06	1.367445e-06	7.341556e-06	0.00010411538	5.9249766e-07	6.220494e-07	9.806493e-09	1.8249264e-05	3.2078773e-05	0.0011832096	0.00030994517
i	0.1059226	0.070457384	0.062830515	0.057988737	0.081147715	0.033087306	0.12196141	0.08686986	0.15514417	0.021701835	0.010356913	0.12650482	0.021813883	0.019116208	0.001820293	0.0003916857	0.009024333	0.0005126869	0.013347677
k	0.025023326	0.07147796	0.097130455	0.69314826	0.075127564	0.006976286	0.013470144	0.006498215	0.009386335	0.00028675803	8.321793e-05	0.0003032984	0.00036379136	0.0001335529	9.251861e-06	1.5132168e-06	2.8313583e-05	2.659678e-05	0.00052511453
ì	0.08623768	0.048352666	0.025302242	0.031245992	0.03287727	0.01290055	0.034423407	0.0476488	0.119689174	0.01046788	0.007113808	0.26943853	0.019362321	0.014468817	0.0038017419	0.00351333	0.030871894	0.0078361295	0.19444774
m	0.027439257	0.3763282	0.26296684	0.12462932	0.14793691	0.031608503	0.015570012	0.0042364346	0.0076858047	0.0009137583	7.278786e-05	0.00016225199	0.0002151239	0.0001309427	1.4969064e-06	2.4608872e-07	8.356322e-06	8.56389e-06	8.521335e-05
m	0.2013252	0.05240969	0.055417515	0.06069157	0.043244556	0.032603487	0.057912685	0.1112621	0.1959886	0.013344226	0.009218134	0.09318318	0.023500975	0.022524817	0.000999111	0.0007221902	0.0065450994	0.009994164	0.009112699
u	0.10319468	0.13405953	0.053610288	0.07660871	0.17421319	0.031287245	0.17975137	0.0827197	0.07904804	0.014246861	0.005250375	0.014229616	0.0133068925	0.01424873	0.0014362058	0.0004692897	0.016475888	0.0002335372	0.0056098755
e	0.026246674	0.3235729	0.3467748	0.21244383	0.061682954	0.01101956	0.011454513	0.0026355418	0.0018894081	0.00049297983	0.00032880477	6.484069e-05	0.0003241973	0.00045342985	4.2164203e-05	4.3039117e-06	0.00036655716	5.763303e-06	0.0001968064
m	0.0052568214	0.014354215	0.030352406	0.12433341	0.10715532	0.045424916	0.18845503	0.13557786	0.22752988	0.008132518	0.0040037106	0.056450143	0.010587218	0.004324009	0.00024734446	0.0018581795	0.0015484502	0.028285634	0.0061230455
à	0.0034573546	0.006689294	0.01139458	0.018331759	0.033400714	0.026634017	0.08358381	0.27204743	0.32684928	0.014920403	0.00811035	0.15914391	0.016467711	0.008977865	0.00013753297	0.003200497	0.0002423604	0.005203118	0.0012080312
n	0.014140603	0.15557069	0.3248591	0.022032967	0.11406352	0.21702522	0.046254005	0.011332897	0.01943183	0.045976277	0.009972359	0.0005589898	0.007206314	0.009999739	0.0005015895	2.0665373e-05	0.0008469022	1.1136572e-05	0.00019526774
