 	la	donna	pulisce	la	casa	l	uomo	no	</S>
e	0.9800844	0.0043186126	0.001321574	0.0062566744	0.006351513	0.00040761926	0.00013933553	0.000457034	0.0006632319
j	0.0011190485	4.777453e-06	1.1762203e-05	4.0977728e-05	2.3176995e-06	8.41378e-05	1.1968529e-05	0.4940158	0.5047091
i	0.9280414	0.01242039	0.009833182	0.0050784573	0.0032853168	0.0007384958	0.0024862655	0.019125836	0.018990727
n	0.9357373	2.182207e-05	6.594429e-05	0.00056620693	0.00047927932	4.0396135e-05	1.1664439e-05	0.0048280116	0.05824938
è	0.9018675	0.011205836	0.012081863	0.0028472939	0.004350852	0.0008486108	0.0049630916	0.009011126	0.0528237
k	0.00027629506	2.1568432e-07	5.584463e-05	0.0008769087	5.1761595e-05	0.00032113973	7.271409e-05	0.013438172	0.9849069
a	0.04056517	1.3107852e-05	0.00010386539	2.1909796e-05	8.142185e-07	6.0368184e-06	0.00035814822	0.95463264	0.004298211
p	0.21996379	2.7301645e-05	0.00728271	0.06079961	0.005726588	0.007154308	0.0017463925	0.24862324	0.44867605
u	0.8713202	0.0020380814	0.000610278	0.0007474658	0.00049752946	7.051355e-05	0.0069552087	0.101979114	0.015781753
l	0.080598034	0.00011307209	0.023748444	0.05428253	0.009597659	0.011060796	0.0054091606	0.54029435	0.27489603
i	0.038354658	0.0031916623	0.00042830405	0.000335869	0.00028970235	3.5099416e-05	0.002861143	0.39319476	0.56130874
z	0.019959476	0.0003057043	0.0079572275	0.034556925	0.0042060264	0.0058959858	0.0007914131	0.60287756	0.32344964
z	0.010609125	0.0037000324	0.0006294552	0.0010506981	0.0017842007	0.00015715999	0.0051987693	0.0846289	0.89224166
è	0.06036468	0.018798763	0.019297497	0.02399893	0.013761127	0.023126584	0.37486833	0.028390275	0.43739387
i	0.0066897785	0.00067798275	0.004381015	0.020343916	0.008731479	0.019133518	0.095121466	0.735	0.10992082
o	0.00023727461	0.0004621947	0.036862455	0.027088365	0.0061361357	0.019287698	0.014902828	0.73148316	0.16353989
s	3.6046626e-05	2.4954581e-05	0.0010321983	0.004230865	0.00016966702	0.006593421	0.0025529144	0.73939186	0.24596815
p	0.019642875	0.0046871677	0.0017005164	0.0071378443	0.0012170017	0.0037187086	0.004205591	0.11835779	0.8393325
ì	0.21520409	0.0024347974	0.006309731	0.02162359	0.0032015569	0.011334182	0.5617019	0.06930366	0.108886465
t	0.00979625	0.023817625	0.026505806	0.030013053	0.091409326	0.035655014	0.10276079	0.6269884	0.053053714
i	0.5895633	0.019008724	0.002051587	0.019237507	0.004254	0.005926008	0.31770465	0.041172773	0.0010814326
o	0.27228835	0.13258466	0.08621156	0.12418687	0.24859707	0.092186116	0.029745854	0.0029365497	0.011262942
à	7.176057e-07	5.4462894e-06	4.7472473e-05	0.00022123236	1.7877104e-05	0.00024767185	0.0017061438	0.51876396	0.47898957
n	5.5859726e-07	0.0001729313	0.0016377545	0.0056666066	0.0031851663	0.013427287	0.06329559	0.6843621	0.22825202
t	0.0053207767	0.0008282787	0.0022615534	0.011509968	0.00077215885	0.002449792	0.020685386	0.6629653	0.29320678
r	0.12884654	0.02507853	0.022201791	0.07536765	0.03511407	0.07380267	0.629536	0.0038416649	0.006211087
e	0.11426094	0.00023625007	0.0005200536	0.004166603	0.0008358493	0.004287154	0.85305834	0.01756004	0.0050747786
p	0.00076298363	0.006297218	0.013245581	0.031062266	0.052053023	0.035877936	0.040731013	0.11842786	0.7015421
o	0.0025948207	1.3477287e-06	1.8781352e-06	3.681858e-05	5.6229637e-06	7.1665277e-06	0.0028746133	0.9628607	0.031616993
d	0.0024756016	0.039195623	0.08510316	0.15450667	0.30201948	0.11343096	0.10739366	0.05378973	0.14208508
è	0.0112885935	4.85517e-06	1.9616045e-06	1.898146e-05	3.4948475e-06	1.647342e-06	0.0021860243	0.9021295	0.08436491
g	1.4477981e-06	0.00018731614	0.0005043327	0.0010274689	0.0012202146	0.003077528	0.0145401815	0.80644315	0.17299825
g	0.014655474	0.0014751146	0.002247286	0.011529154	0.0054017073	0.0028855957	0.20011361	0.641094	0.120598
h	0.0034137296	0.0006792376	0.0021525156	0.0067293313	0.0015223214	0.013304124	0.9659218	0.0051769586	0.001099992
e	0.030758716	0.00036740495	0.0011814568	0.004783965	0.0054708635	0.004670209	0.23788008	0.6205997	0.09428761
</S>	0.000101516685	0.0005227598	0.0013177526	0.00727558	0.011820372	0.007963889	0.00836274	0.0922253	0.87041014
