 	vuole	vuole	mangiato	caldo	</S>
t	0.8226462	0.0026030766	0.007889468	0.07501248	0.09184877
è	0.0017912899	0.2834764	0.69886076	0.01556859	0.00030292806
l	0.77478963	0.21069543	0.014180269	0.0002416144	9.301234e-05
i	0.66351056	0.27572495	0.02533774	0.033422966	0.0020037284
t	0.5998851	0.26813775	0.121200114	0.009527564	0.0012493572
è	0.0019210166	0.15331149	0.522444	0.28284526	0.039478194
l	0.26371214	0.6404057	0.09017119	0.0048187682	0.0008921028
i	0.7660471	0.185032	0.024590312	0.01959794	0.004732629
f	0.13840921	0.25438458	0.57702416	0.028887289	0.0012947088
a	0.16301295	0.45237502	0.21119805	0.12176188	0.05165208
m	0.020375257	0.14587817	0.5024515	0.3191267	0.012168386
è	0.013166303	0.14173493	0.26307905	0.30879945	0.2732203
n	0.0006180736	0.016780462	0.034475166	0.93553257	0.012593799
o	0.49197403	0.074867174	0.07518665	0.12052606	0.23744603
t	0.0038202845	0.06913833	0.28671148	0.57884175	0.061488066
r	0.00014472171	0.0012367748	0.023764221	0.83905137	0.13580291
e	0.13339402	0.13775177	0.07284486	0.06170127	0.5943081
m	0.00034526546	0.0027579123	0.02444629	0.8343609	0.13808961
m	0.0010523172	0.019712316	0.0596367	0.81364834	0.10595036
ò	0.5723195	0.24237345	0.033995405	0.025743363	0.12556829
</S>	0.000508431	0.011239128	0.028139975	0.76968837	0.19042404
