 	vuole	pianto	</S>
e	0.8205939	0.007051323	0.17235476
t	0.9771928	0.019998118	0.0028090407
è	0.0005054447	0.917658	0.081836656
l	0.95538586	0.038365733	0.006248382
i	0.7688895	0.033153526	0.197957
k	0.6687175	0.32580245	0.005480121
l	0.6335451	0.0077785966	0.3586763
a	0.07375516	0.9154771	0.01076775
m	0.020635718	0.93995863	0.039405692
m	0.036015704	0.2139185	0.75006574
è	0.15960349	0.79669404	0.043702487
n	0.13159329	0.7220031	0.14640369
o	0.9791367	0.0061403606	0.014722867
</S>	0.0070568654	0.859124	0.13381913
