 	il	cibo	vuole	mangiato	appena	lo	cucini	</S>
o	0.9889208	0.00020466401	0.0036326782	0.002739768	1.2019232e-05	0.0013493297	0.0003153249	0.0028254224
m	0.0027455487	0.83821404	0.040698543	0.0067276605	0.09353517	0.017295124	0.0002370347	0.0005467989
a	0.2230602	0.055914093	0.09909989	0.016939985	0.2210068	0.24658841	0.13595903	0.0014315498
r	0.1586885	0.6243659	0.08024621	0.06292635	0.05908627	0.012696667	0.0010222354	0.0009678344
ì	0.09064475	0.0529972	0.019026985	0.02143798	0.4062342	0.059006024	0.2707585	0.07989437
o	0.02827539	0.8051349	0.13691097	0.008603845	0.019831095	0.001047724	4.9353494e-05	0.00014666685
e	0.03909778	0.1578171	0.44510257	0.15771627	0.1014991	0.094578065	0.004036081	0.0001530607
t	0.02047045	0.054822944	0.24751642	0.2534505	0.19181038	0.22928232	0.002311746	0.00033522805
è	0.020963097	0.027597615	0.009037172	0.012158861	0.12517984	0.043648865	0.5814983	0.17991616
l	0.026909638	0.39743876	0.40388852	0.10134041	0.0628066	0.0072300085	0.00033042114	5.5605895e-05
i	0.6143263	0.027119463	0.16011246	0.039595287	0.029089095	0.104445316	0.022173017	0.00313906
f	0.045855284	0.09684521	0.10313214	0.72210944	0.029564062	0.0019416682	0.00051597727	3.6221263e-05
a	0.15563653	0.032060195	0.08585691	0.009786415	0.056644935	0.3052885	0.3433392	0.011387281
m	0.024360424	0.027281364	0.13122772	0.554721	0.21621704	0.043805756	0.002003462	0.00038323776
è	0.08032666	0.022102872	0.040420733	0.00451736	0.024457285	0.09410515	0.7072101	0.026859816
n	0.0006239926	0.0013487086	0.066048644	0.008561969	0.08412874	0.72432613	0.10953919	0.00542265
o	0.7639065	0.010499037	0.054636195	0.019409813	0.006658216	0.08804105	0.04879331	0.008055904
a	0.0051345434	0.011325659	0.08505115	0.24814531	0.51249135	0.12948754	0.006605241	0.0017592092
p	2.599702e-05	0.0014897765	0.048790418	0.013826383	0.2284153	0.56503445	0.13351081	0.008906847
p	0.26682425	0.017079463	0.040726017	0.013663365	0.014856131	0.055905808	0.56326956	0.02767538
è	0.0044814036	0.021281887	0.0053922534	0.0018281832	0.013274497	0.003524939	0.94023925	0.009977655
n	0.006701777	0.0041720048	0.035016604	0.06698963	0.15742347	0.16680452	0.5393292	0.023562837
a	0.35426858	0.011359933	0.09446229	0.0057595503	0.0022366229	0.10220094	0.39317834	0.036533743
o	0.0027498242	0.022079302	0.06744047	0.37673616	0.24480754	0.08116273	0.1604669	0.044557095
m	1.3639164e-05	0.00034493118	0.006383666	0.001960788	0.01600954	0.25017494	0.6689224	0.056190193
a	0.07874985	0.015928501	0.03381118	0.0048271916	0.0110584535	0.010020174	0.83389413	0.011710471
r	0.0880399	0.00577467	0.039477404	0.2286727	0.22522978	0.2318032	0.1097765	0.07122579
è	0.0068889516	0.0015777239	0.0012803297	0.00087974255	0.00095394615	0.0009723529	0.86490786	0.122539066
i	0.002936701	0.000902575	0.008630141	0.018638846	0.047658075	0.11100099	0.7325029	0.07772984
</S>	4.2710744e-05	0.00023491125	0.008413349	0.00050127733	0.0022108536	0.2388837	0.6344486	0.115264714
