 	credo	che	stanno	ancora	svegli	</S>
p	0.034815267	0.04181567	0.0107263625	0.076517485	0.079551175	0.7565741
i	0.6900692	0.13490698	0.023912774	0.11009232	0.040017843	0.0010009451
s	0.35962212	0.33817735	0.25795352	0.028399331	0.012977571	0.0028700817
t	0.004186367	0.0058352076	0.05889702	0.8389452	0.06620218	0.025934046
è	0.4660204	0.11362499	0.38871643	0.013030034	0.00011673259	0.01849133
o	0.43974036	0.5435488	0.016536163	0.00012990192	2.4430587e-06	4.2309985e-05
k	0.10005227	0.07245405	0.49468663	0.15110727	0.17954634	0.0021534425
a	0.017886326	0.003063525	0.003889236	0.946445	0.012645812	0.016070157
s	0.10787694	0.48031068	0.39296964	0.016312964	0.0018782277	0.00065134256
t	0.005320873	0.0020633016	0.01879497	0.82090443	0.051426176	0.10149019
è	0.15963498	0.021777894	0.15235701	0.2935833	0.006454435	0.36619234
o	0.07324082	0.620035	0.3023983	0.0025967907	0.0003281432	0.0014008575
n	0.012273388	0.009178383	0.19304809	0.6267683	0.15041973	0.008312058
e	0.17913337	0.043050982	0.017986504	0.34601942	0.011125402	0.40268433
a	0.020082278	0.23302604	0.65765387	0.06853031	0.0015506975	0.019156832
n	9.0266134e-05	0.0009641007	0.050362445	0.54049134	0.38352647	0.024565397
k	0.0011986168	0.00027791574	0.00022843118	0.014004795	0.045060173	0.93923014
ò	0.37137935	0.032018974	0.054298803	0.04052367	0.0047718897	0.4970074
r	0.060738686	0.09672864	0.5221031	0.12440546	0.15380801	0.042216107
a	0.04118338	0.05715979	0.009126646	0.4533357	0.17628036	0.2629141
a	0.021613175	0.14218336	0.7193339	0.07451519	0.000855402	0.041498978
t	5.304765e-06	6.404425e-05	0.0036013285	0.13459344	0.82438534	0.03735059
s	0.0025592363	0.0012374342	0.0009064363	0.016275184	0.044087924	0.9349337
ù	0.0041596415	0.013214921	0.0634266	0.08183188	0.01240576	0.8249612
n	9.831617e-05	0.0003615567	0.014694156	0.04732454	0.9199505	0.01757087
n	0.007307345	0.026450299	0.0046266434	0.09977741	0.29571995	0.56611836
i	0.83639467	0.03880594	0.008286821	0.0108634615	0.007945529	0.09770339
t	0.0002037606	0.0006178467	0.009051068	0.1431501	0.74630946	0.10066779
i	0.64058393	0.24762015	0.005352506	0.019837089	0.0027557556	0.08385062
</S>	0.0015027563	0.013147892	0.036932807	0.030714314	0.028557733	0.8891445
