 	forse	non	li	ha	a	casa	</S>
f	0.0025327646	0.012836909	0.026869915	0.005751301	0.031050215	0.82346237	0.097496554
ò	0.060478628	0.22367139	0.4507269	0.18887976	0.074708454	0.0014454717	8.937883e-05
r	0.77670324	0.17770582	0.0335218	0.011212159	0.0007396145	8.428284e-05	3.3043205e-05
s	0.008777355	0.14040889	0.30008405	0.28478026	0.24139087	0.023400053	0.0011584727
i	0.5523514	0.18499558	0.024820613	0.14192532	0.0931391	1.6287411e-05	0.0027517164
e	0.5589827	0.3492691	0.06284469	0.026493449	0.0022985581	7.747158e-05	3.4081724e-05
t	0.052787352	0.11527729	0.32215005	0.14583814	0.34967858	0.013870858	0.00039773202
u	0.023481967	0.026511049	0.010567979	0.055705853	0.5810083	0.07412859	0.22859621
s	0.035746746	0.22243422	0.39012313	0.23735572	0.110292904	0.0036867138	0.0003604907
è	0.018000796	0.0065225502	0.0045127696	0.011854319	0.43971682	0.3063809	0.21301189
c	0.11790854	0.21878468	0.15923764	0.24907923	0.043659415	0.20010997	0.011220479
h	0.02409125	0.049900997	0.037266202	0.089650735	0.57994837	0.21809599	0.0010464552
i	0.038052265	0.03262101	0.020292975	0.28353196	0.6180502	0.006423188	0.00102839
è	0.016575916	0.04023767	0.04400344	0.30143908	0.36749268	0.16354626	0.06670498
s	0.00019012984	0.0012154827	0.002452926	0.0105048055	0.03848111	0.6962714	0.2508841
s	0.0009470722	0.016449755	0.027153207	0.08183934	0.17700711	0.6461254	0.050478157
u	0.0142264925	0.029678905	0.019598344	0.09499133	0.34912065	0.22727574	0.26510856
</S>	0.026254252	0.016881077	0.0074639274	0.052092277	0.13214856	0.5101654	0.2549945
