 	questa	casa	la	costruirono	cinquanta	anni	fa	</S>
t	0.8892842	0.06454048	0.009052368	0.01731173	0.006781456	0.006769583	0.0013930132	0.0048671975
ù	0.03505164	0.026575344	0.049535654	1.42032495e-05	5.6061854e-05	0.004273177	0.46996394	0.41452998
t	0.88454396	0.08294035	0.020423045	3.1110446e-06	4.2242849e-07	0.00014780894	0.0055300235	0.0064112367
t	0.010120024	0.0049070595	0.039058648	1.6165068e-05	0.00012990848	0.03913527	0.7979142	0.108718775
o	0.55679125	0.15720493	0.18327028	0.0011242832	0.0001611811	0.0009695107	0.0033206737	0.09715797
s	0.19374025	0.5689492	0.2239418	0.00022887734	7.385629e-06	0.00024113442	0.0014088	0.011482473
p	0.0076854937	0.22123426	0.39470956	0.0029462855	0.0042863865	0.03674341	0.013710016	0.31868452
ì	0.37725225	0.093011305	0.16062658	0.28771466	0.004637961	0.011241273	0.0048414418	0.060674593
t	0.07165905	0.74727255	0.174931	0.0049823723	7.4623945e-06	0.0002647254	0.0001048104	0.00077797956
i	0.031537116	0.012631134	0.076378986	0.00028281525	0.00064347923	0.11633661	0.7115656	0.050624255
t	0.026817614	0.26886362	0.68643796	0.015596629	0.00022667911	0.0008248759	0.00039674458	0.000835985
o	0.018630773	0.031908285	0.045509826	0.015001345	0.008938348	0.3005229	0.1629085	0.41658008
f	0.019211838	0.21569821	0.71360976	0.039776377	0.0003262913	0.0040490767	0.003229277	0.004099227
a	0.0017716648	0.0033879906	0.006556386	0.009711509	0.0034343966	0.49995345	0.27570176	0.19948289
b	0.009530432	0.13362952	0.5045218	0.1539459	0.002248262	0.12017066	0.041568387	0.034385093
b	0.026083149	0.01954705	0.032208882	0.019376023	0.0057131513	0.6730473	0.17259616	0.051428303
r	0.43457797	0.0956129	0.060034145	0.2167488	0.0060202084	0.10306324	0.0367373	0.04720548
i	0.24161038	0.00082954584	0.00470354	0.009279273	0.0046448666	0.4560206	0.27699912	0.005912718
k	0.1125908	0.09541952	0.21538259	0.19262135	0.04525344	0.18713406	0.10361609	0.047982167
è	0.0018957094	0.021439118	0.021758463	0.0032776906	0.003395363	0.67005384	0.24626108	0.031918723
t	0.0055258367	0.05027895	0.05578745	0.68245393	0.064628355	0.02418199	0.038687695	0.07845578
s	0.1925878	0.015266552	0.048143044	0.096028864	0.050036747	0.09181854	0.46937105	0.036747403
a	0.12805155	0.16903763	0.1321462	0.16551067	0.060090233	0.2870602	0.04338785	0.014715637
n	0.0012744183	0.038461246	0.03231377	0.15783449	0.14229861	0.34154907	0.15195884	0.13430953
o	0.00092233566	0.07645552	0.1235108	0.0042652967	0.005393522	0.29947895	0.4465617	0.04341188
p	0.0012724694	0.02943912	0.09164952	0.6757683	0.14590764	0.050321862	0.0013340331	0.0043070205
e	0.0027741236	0.011486858	0.017441766	0.006496209	0.0024700994	0.2318998	0.6384042	0.08902695
t	0.002151454	0.018329447	0.036936656	0.75850594	0.1206226	0.050973363	0.004967584	0.0075129657
t	0.00090677926	0.0035394507	0.0039885356	0.0021225964	0.00068694446	0.065777175	0.6578326	0.26514587
ì	0.091248795	0.018444948	0.01945531	0.014542706	0.002347396	0.20435125	0.45407447	0.19553512
n	0.0005525072	0.0061586485	0.005902021	0.14498141	0.1171421	0.049370073	0.42015943	0.2557338
t	0.0024355166	0.022071112	0.022351936	0.018229717	0.0032153327	0.03968146	0.684946	0.20706879
a	0.07289791	0.014524597	0.022781566	0.023433153	0.0037218144	0.19709578	0.56573164	0.09981344
c	0.0018469973	0.013536905	0.008334352	0.15197463	0.15506226	0.052792303	0.25524262	0.3612099
h	0.00035075468	0.012555727	0.028753927	0.0046886997	0.006507278	0.27391577	0.64279526	0.030432494
r	0.08110797	0.05011277	0.042390935	0.48141852	0.102438204	0.06246271	0.14759073	0.03247826
ò	0.03938215	0.00039470827	0.00045932358	0.002788301	0.0014493451	0.003884479	0.9415518	0.010089923
n	9.59402e-06	0.00013455641	6.446138e-05	0.00068749534	0.0057616746	0.0039020125	0.88970214	0.09973807
u	0.010515325	0.02732964	0.060154464	0.17500739	0.14120677	0.07023503	0.43036935	0.085181974
a	0.0034043654	0.12807962	0.04353633	0.49624625	0.24050133	0.015183403	0.011616711	0.061432056
m	2.3237368e-07	0.00014666314	0.00058023026	0.00045712586	0.008852722	0.1902402	0.6912006	0.10852221
p	0.00016300014	0.0031516452	0.0083944015	0.007531787	0.009182011	0.17599048	0.71251607	0.083070554
ì	0.13995455	0.03711257	0.04951569	0.15062396	0.023768721	0.18815064	0.3707205	0.040153332
</S>	2.1704867e-05	9.373352e-05	4.8343285e-05	0.0006673731	0.0046768957	0.0037308377	0.9473249	0.043436285
