 	vengono	vestiti	</S>
è	0.84438	0.10450484	0.05111511
r	0.9658499	0.03362994	0.00052017893
k	0.10320101	0.6899486	0.2068503
u	0.9993561	0.000595967	4.794807e-05
t	0.4953145	0.43582088	0.06886467
t	0.0054060384	0.8275559	0.16703808
e	0.9763323	0.015391315	0.008276366
n	0.79828554	0.07063025	0.13108422
d	0.0014304849	0.43651617	0.5620533
i	0.94745654	0.032756884	0.01978652
m	0.318608	0.07270378	0.6086882
è	0.058900833	0.86702704	0.07407208
n	0.12846218	0.27974954	0.5917883
a	0.69498426	0.28950652	0.015509221
</S>	0.103805214	0.062103976	0.8340908
