 	che	impara	una	cosa	che	studia	una	cosa	</S>
n	0.07545682	0.7832396	0.025644163	0.025488181	0.05501277	0.0008091807	0.0021289906	0.0033808595	0.02883952
a	0.51119405	0.0009589344	0.041276414	0.16981699	0.028062042	0.14802521	0.004940349	0.06308035	0.03264571
m	0.47173268	0.018220672	0.2107529	0.23575108	0.036696102	0.002555767	0.0027075135	0.00069700874	0.020886168
à	0.3604248	0.010531849	0.010945126	0.034283254	0.020636551	0.09054153	0.2219468	0.03933022	0.21135978
t	0.08801338	0.5879759	0.3150444	0.0034727622	0.00250069	0.002882958	2.020298e-05	4.6498635e-06	8.505667e-05
i	0.12786326	0.0823206	0.24196327	0.23236337	0.052628107	0.058263812	0.06060428	0.011875404	0.13211778
è	0.2026501	0.5554014	0.15646017	0.077089	0.006913746	0.00073779473	8.173515e-05	6.0412618e-05	0.00060570944
n	0.013149682	0.034141563	0.691646	0.054105204	0.020198788	0.1848812	0.0017997851	4.73793e-05	3.0390149e-05
a	0.013338069	0.011487317	0.1809379	0.26652986	0.062556975	0.15710206	0.19104765	0.0671692	0.049830936
p	0.061637335	0.3852128	0.2776586	0.24990907	0.02410262	0.0005546431	0.00042241125	9.0460926e-05	0.0004121015
r	0.03582432	0.0058267075	0.0035282727	0.028949691	0.007020962	0.0073088305	0.10816681	0.50934577	0.29402864
à	0.07252063	0.00496707	0.019893404	0.01494945	0.039187584	0.08395144	0.2640983	0.008141913	0.4922902
m	0.013997776	0.115236446	0.28207192	0.041688837	0.08550291	0.45320436	0.007993808	2.7628837e-05	0.00027644573
a	0.095833115	0.15933473	0.039436515	0.08219526	0.05953277	0.1058905	0.100538656	0.2467126	0.11052584
n	0.025965178	0.22631784	0.25098366	0.30320984	0.15692493	0.011530531	0.013559626	0.00070472213	0.010803622
a	0.016040875	0.006054689	0.0041796723	0.0060095307	0.00273949	0.030038688	0.11569477	0.39341977	0.4258225
s	0.0035088316	0.730283	0.065009765	0.13025129	0.05922024	0.001301471	0.005668173	0.00044601833	0.004311132
t	0.0017857362	0.013085855	0.0044304184	0.0046826843	0.0013289422	0.018186303	0.08457985	0.37916398	0.49275628
u	0.006927665	0.0006357455	0.0031139534	0.0011679986	0.0017870073	0.009839603	0.2663211	0.048091263	0.66211563
d	0.0023495567	0.6520543	0.08639189	0.088109896	0.06240948	0.024010142	0.065467164	0.00144088	0.017766643
i	0.006160617	0.0019594782	0.0006681451	0.0011589811	0.0005319203	0.003232877	0.015514421	0.70778924	0.26298428
è	0.0012742326	0.7040828	0.047889248	0.113008715	0.062376436	0.007123215	0.04260861	0.0022266353	0.01941003
t	4.7228088e-05	0.004238837	0.012746034	0.01229978	0.0018642535	0.87255484	0.08117732	0.011533915	0.0035377685
s	0.008171625	0.59248036	0.037812173	0.011705289	0.014001571	0.01927677	0.045070753	0.10426918	0.16721225
i	0.05483099	0.050541155	0.039395254	0.0030361007	0.01270204	0.034729388	0.16949108	0.017654153	0.6176198
è	0.0020437844	0.54527044	0.04565045	0.07523415	0.05536098	0.009635933	0.16236682	0.018440614	0.08599683
n	0.00010473369	0.05249518	0.044823963	0.024958523	0.00433674	0.36544204	0.3353867	0.13147779	0.040974293
a	0.008397031	0.62140435	0.03895267	0.0064742654	0.0134995375	0.02259568	0.02358829	0.12508087	0.14000726
p	0.004237662	0.84820074	0.012440568	0.018861853	0.01476109	0.00026590494	0.01820382	0.011264183	0.07176412
r	0.020012848	0.07480361	0.008037109	0.013034754	0.0117099555	0.05100643	0.043538123	0.63388145	0.14397572
à	0.07926355	0.080934875	0.006349668	0.001052035	0.005948407	0.14449228	0.14522204	0.08219969	0.45453745
m	0.00043346392	0.03595486	0.015804727	0.006911554	0.0073271072	0.17625126	0.40624246	0.11190062	0.239174
a	0.046696946	0.098379	0.021211011	0.004225921	0.020240594	0.31714532	0.03130497	0.29550922	0.16528702
</S>	0.004747686	0.026945509	0.06713014	0.010145014	0.026337225	0.06297435	0.373015	0.037651498	0.39105356
