 	entrò	da	qui	</S>
m	0.25561032	0.49056825	0.08472364	0.16909777
b	0.009710318	0.9807417	0.009494973	5.298096e-05
ì	0.7754362	0.22169581	0.0027326986	0.00013519514
k	0.8483046	0.1438473	0.004972996	0.0028751176
e	0.012548337	0.9263221	0.059249938	0.001879568
a	0.83044374	0.15293577	0.0028135763	0.013806899
p	0.0022733689	0.023069307	0.86668295	0.107974365
ò	0.0016372644	0.34427336	0.65174377	0.0023456174
t	0.0016243054	0.0035222801	0.8674433	0.12741007
t	0.0013426753	0.028915346	0.93790674	0.031835254
u	0.5614746	0.34926626	0.07185069	0.01740849
</S>	0.04482185	0.029786378	0.16224724	0.7631445
