 	le	melanzane	vogliono	ee	girate	</S>
t	0.09286558	0.0047632814	0.6081045	0.075036764	0.06683542	0.15239447
e	0.15751669	0.8399216	2.8074412e-06	0.00042518554	0.0019476487	0.00018603116
s	0.42037883	0.5581852	0.007338262	0.010996156	0.0003692397	0.002732396
m	0.009883083	0.49605304	0.0045832843	0.093922384	0.04182146	0.3537367
a	0.5640767	0.42476723	0.00069039885	0.0077051516	0.00086501567	0.0018955357
r	0.30352846	0.6913898	0.0007819782	0.0034498135	0.00014901509	0.00070094934
a	0.13449043	0.31331313	0.00060044305	0.08952964	0.341128	0.120938376
n	0.27653155	0.7126937	0.0015127194	0.007072928	0.00044643338	0.0017427017
g	0.00979003	0.038397755	0.0035419932	0.11240094	0.529369	0.3065002
i	0.23906425	0.4631377	0.0021346542	0.14524586	0.06517381	0.08524375
à	0.2657671	0.71408623	0.0055890097	0.010873965	0.0007523485	0.0029313557
n	0.026252354	0.040487397	0.48912823	0.42653573	0.011169477	0.006426763
e	0.10737975	0.20628662	0.0018343504	0.09959861	0.5234237	0.061476983
t	0.2172345	0.628312	0.07037274	0.07315409	0.003112405	0.007814269
è	0.004714668	0.0060487296	0.0011335546	0.03636293	0.7387029	0.21303715
l	0.15265754	0.45011756	0.12068577	0.24274334	0.013891669	0.019904032
u	0.2057476	0.058570825	0.16415726	0.17060865	0.33916447	0.061751187
n	0.10936926	0.36014464	0.17954846	0.26943415	0.027731106	0.05377238
e	0.011945987	0.007172803	0.0011196389	0.020043014	0.8167982	0.14292036
e	0.039998323	0.13781837	0.20122933	0.42479476	0.09064768	0.105511464
e	0.00089567766	0.004421541	0.027222628	0.28018788	0.59075314	0.096519135
v	0.0029779214	0.006551458	0.061581835	0.33688146	0.5088034	0.08320389
o	0.018957462	0.0070188046	0.003012063	0.033182293	0.8109166	0.12691276
t	0.0026054024	0.004337776	0.5336159	0.26713702	0.08304811	0.10925581
i	0.0018892261	0.0007248165	0.0006036239	0.004407948	0.6855721	0.30680233
m	0.0013515954	0.0036010195	0.24149166	0.2703614	0.17737971	0.3058146
m	0.0048688645	0.0031329088	0.0014025833	0.017293941	0.8910505	0.08225112
è	0.20022051	0.05929719	0.0009573933	0.009709068	0.3701885	0.35962734
n	0.004090144	0.003994733	0.0084957965	0.087906934	0.47537926	0.42013308
e	0.7020085	0.056392647	0.024198662	0.036864594	0.15020101	0.030334653
</S>	0.0045108823	0.0053736065	0.009316734	0.027172275	0.34587193	0.6077546
